,p1_mean_def_last
0,49.166666666666664
1,35.0
2,57.5
3,40.833333333333336
4,68.33333333333333
5,70.0
6,40.0
7,48.333333333333336
8,29.166666666666668
9,41.666666666666664
10,15.0
11,29.166666666666668
12,54.166666666666664
13,41.666666666666664
14,55.0
15,71.66666666666667
16,79.16666666666667
17,40.833333333333336
18,75.83333333333333
19,25.833333333333332
20,60.833333333333336
21,54.166666666666664
22,30.833333333333332
23,47.5
24,15.833333333333334
25,55.0
26,43.333333333333336
27,68.33333333333333
28,33.333333333333336
29,30.0
30,25.833333333333332
31,55.0
32,16.666666666666668
33,77.5
34,23.333333333333332
35,47.5
36,75.83333333333333
37,44.166666666666664
38,75.83333333333333
39,55.0
40,45.0
41,48.333333333333336
42,55.833333333333336
43,52.5
44,65.0
45,61.666666666666664
46,20.833333333333332
47,52.5
48,82.5
49,27.5
50,50.833333333333336
51,55.0
52,40.833333333333336
53,45.833333333333336
54,49.166666666666664
55,53.333333333333336
56,76.66666666666667
57,63.333333333333336
58,19.166666666666668
59,43.333333333333336
60,75.83333333333333
61,62.5
62,51.666666666666664
63,27.5
64,65.83333333333333
65,41.666666666666664
66,71.66666666666667
67,71.66666666666667
68,55.833333333333336
69,58.333333333333336
70,46.333333333333336
71,38.333333333333336
72,38.333333333333336
73,41.666666666666664
74,70.0
75,52.5
76,32.5
77,63.333333333333336
78,35.833333333333336
79,54.166666666666664
80,51.666666666666664
81,78.33333333333333
82,49.166666666666664
83,51.666666666666664
84,85.0
85,36.666666666666664
86,24.166666666666668
87,55.0
88,20.833333333333332
89,48.333333333333336
90,27.5
91,52.5
92,75.0
93,15.833333333333334
94,60.0
95,69.16666666666667
96,21.666666666666668
97,47.5
98,32.5
99,65.0
100,47.5
101,37.5
102,52.5
103,25.833333333333332
104,55.833333333333336
105,63.333333333333336
106,24.166666666666668
107,34.166666666666664
108,88.33333333333333
109,105.83333333333333
110,69.16666666666667
111,52.5
112,26.666666666666668
113,65.83333333333333
114,79.16666666666667
115,36.666666666666664
116,65.83333333333333
117,51.666666666666664
118,79.16666666666667
119,25.0
120,36.666666666666664
121,21.666666666666668
122,67.5
123,36.666666666666664
124,70.83333333333333
125,65.83333333333333
126,68.33333333333333
127,50.833333333333336
128,43.333333333333336
129,53.333333333333336
130,50.0
131,25.833333333333332
132,24.166666666666668
133,27.5
134,75.0
135,85.0
136,72.5
137,31.666666666666668
138,44.166666666666664
139,67.5
140,48.333333333333336
141,47.5
142,41.666666666666664
143,51.666666666666664
144,36.666666666666664
145,41.666666666666664
146,58.333333333333336
147,23.333333333333332
148,75.83333333333333
149,64.16666666666667
150,70.83333333333333
151,75.0
152,62.5
153,47.5
154,53.333333333333336
155,46.666666666666664
156,78.33333333333333
157,35.0
158,49.166666666666664
159,55.0
160,36.666666666666664
161,83.33333333333333
162,61.666666666666664
163,22.5
164,30.833333333333332
165,40.833333333333336
166,55.0
167,49.166666666666664
168,50.833333333333336
169,53.333333333333336
170,14.166666666666666
171,65.0
172,82.5
173,31.666666666666668
174,58.333333333333336
175,50.833333333333336
176,47.5
177,65.0
178,47.5
179,31.666666666666668
180,61.666666666666664
181,49.166666666666664
182,53.333333333333336
183,77.5
184,75.83333333333333
185,76.66666666666667
186,46.666666666666664
187,30.0
188,10.0
189,71.66666666666667
190,55.833333333333336
191,29.166666666666668
192,58.333333333333336
193,27.5
194,59.166666666666664
195,26.666666666666668
196,53.333333333333336
197,78.33333333333333
198,90.83333333333333
199,53.333333333333336
200,8.333333333333334
201,33.333333333333336
202,50.833333333333336
203,50.833333333333336
204,53.333333333333336
205,26.666666666666668
206,71.66666666666667
207,56.666666666666664
208,51.666666666666664
209,57.5
210,81.66666666666667
211,47.5
212,55.0
213,38.333333333333336
214,44.166666666666664
215,61.666666666666664
216,87.5
217,35.833333333333336
218,51.666666666666664
219,44.166666666666664
220,30.0
221,65.0
222,35.833333333333336
223,36.666666666666664
224,65.0
225,36.666666666666664
226,75.83333333333333
227,26.666666666666668
228,40.0
229,77.5
230,42.5
231,45.833333333333336
232,70.0
233,30.833333333333332
234,33.333333333333336
235,40.833333333333336
236,65.83333333333333
237,51.666666666666664
238,61.666666666666664
239,60.833333333333336
240,41.666666666666664
241,40.833333333333336
242,51.666666666666664
243,40.833333333333336
244,56.666666666666664
245,62.5
246,56.666666666666664
247,55.833333333333336
248,60.0
249,29.166666666666668
250,63.333333333333336
251,52.5
252,57.5
253,80.83333333333333
254,62.5
255,48.333333333333336
256,55.0
257,109.16666666666667
258,41.666666666666664
259,45.833333333333336
260,68.33333333333333
261,46.666666666666664
262,40.0
263,72.5
264,65.83333333333333
265,47.5
266,41.666666666666664
267,58.333333333333336
268,52.5
269,15.833333333333334
270,20.833333333333332
271,16.666666666666668
272,66.66666666666667
273,77.5
274,75.0
275,55.833333333333336
276,40.833333333333336
277,61.666666666666664
278,65.83333333333333
279,46.666666666666664
280,17.5
281,38.333333333333336
282,57.5
283,55.0
284,31.666666666666668
285,80.0
286,40.0
287,76.66666666666667
288,54.166666666666664
289,61.666666666666664
290,85.0
291,79.16666666666667
292,51.666666666666664
293,47.5
294,26.666666666666668
295,30.833333333333332
296,51.666666666666664
297,70.0
298,79.16666666666667
299,61.666666666666664
300,41.666666666666664
301,65.83333333333333
302,26.666666666666668
303,65.83333333333333
304,38.333333333333336
305,90.83333333333333
306,52.5
307,55.833333333333336
308,85.83333333333333
309,66.66666666666667
310,52.5
311,49.166666666666664
312,54.166666666666664
313,70.0
314,23.333333333333332
315,46.666666666666664
316,27.5
317,38.333333333333336
318,60.833333333333336
319,53.333333333333336
320,51.666666666666664
321,49.166666666666664
322,64.16666666666667
323,79.16666666666667
324,48.333333333333336
325,20.0
326,40.0
327,55.0
328,66.66666666666667
329,32.5
330,64.16666666666667
331,61.666666666666664
332,31.666666666666668
