,final_team_hp_difference
0,97.23085118357494
1,14.950000000000045
2,-105.60000000000002
3,-203.70000000000002
4,-30.149999999999977
5,93.89999999999998
6,-130.49999999999997
7,-256.8
8,-203.99999999999997
9,8.585820486481964
10,-5.5
11,-270.19999999999993
12,-35.70000000000002
13,217.45
14,-396.15
15,-209.03225655052347
16,255.3
17,-233.5
18,-198.05
19,4.349999999999966
20,-193.84999999999997
21,31.149999999999977
22,-390.5274494655482
23,-317.15
24,-220.0
25,-128.90000000000006
26,109.31636996143595
27,-72.60000000000002
28,-156.95000000000005
29,-262.95
30,-109.85000000000002
31,-93.2552919863457
32,1.7000000000000028
33,35.44999999999999
34,-186.9293329291766
35,-82.85000000000002
36,-32.75000000000006
37,251.93545138103082
38,204.14999999999998
39,149.54999999999995
40,-195.39177062500414
41,10.400000000000034
42,-73.04999999999995
43,52.27423691615536
44,214.29907728611084
45,-103.19999999999993
46,-64.79999999999998
47,-38.91145889541821
48,-48.00000000000006
49,-69.30000000000001
50,20.75
51,-84.32000000000005
52,-57.43011673348323
53,-75.34999999999997
54,118.39999999999998
55,119.60000000000002
56,35.05777810957886
57,-121.05000000000001
58,81.6
59,-112.14999999999998
60,-342.0999999999999
61,-145.3137001001951
62,53.89999999999998
63,44.29999999999998
64,218.10280217776153
65,146.04461511721973
66,-50.70000000000002
67,5.5
68,-93.39999999999998
69,-169.20000000000005
70,-350.15
71,-250.80999999999995
72,-3.25
73,-169.9948874571166
74,-96.94999999999999
75,-250.91859014861257
76,-222.60000000000002
77,-300.34999999999997
78,-147.8
79,-245.0955935056545
80,145.37815013708456
81,-18.116494308845233
82,-190.95
83,181.73996343404326
84,-403.68119695143406
85,-147.75
86,-422.5680105053762
87,167.93246358743062
88,125.19289963765866
89,-295.45
90,71.55000000000001
91,-306.15
92,-101.32984172728214
93,-302.8605664982564
94,-179.90000000000003
95,-74.81002011032638
96,-227.24558893463586
97,-40.28155073245034
98,-203.58062523178026
99,-359.60281200834214
100,5.849999999999966
101,-366.30000000000007
102,15.0
103,-79.44999999999999
104,166.2
105,-36.650000000000034
106,-211.75
107,-285.7406483375129
108,51.15000000000009
109,-12.899999999999977
110,-54.30000000000001
111,-110.45000000000005
112,177.49999999999997
113,111.35258274085663
114,-146.6500000000001
115,-332.8
116,22.650000000000034
117,-300.8
118,-50.80000000000001
119,180.39999999999998
120,-206.84807564045707
121,-126.59999999999997
122,41.099999999999966
123,151.20000000000002
124,-126.95000000000005
125,-442.2806194825535
126,-88.80000000000001
127,-182.04188668492867
128,-138.24999999999994
129,-187.74999999999997
130,-63.208244032228095
131,-415.4
132,102.30000000000001
133,-132.5
134,30.649999999999977
135,-228.29476799065753
136,-87.8596976107782
137,-272.3
138,15.903539761789546
139,-350.35
140,-280.45000000000005
141,-74.90000000000003
142,-213.25000000000003
143,179.39999999999998
144,-133.08186827935057
145,100.05000000000001
146,-40.80000000000001
147,-244.25
148,-117.85000000000002
149,59.02015838583878
150,-33.19999999999999
151,-384.6955574380853
152,-2.131841456284292
153,-158.25
154,18.600000000000023
155,73.25
156,21.603040264072888
157,-305.75
158,-33.200000000000045
159,-133.7710690521012
160,-85.69999999999999
161,-249.8
162,32.950000000000045
163,90.05
164,44.30830294139048
165,9.350000000000023
166,-5.349999999999966
167,-99.43415666425196
168,-208.25
169,-24.716134191626537
170,-223.0
171,-23.30000000000001
172,-257.75
173,-19.75
174,73.79999999999995
175,-106.15000000000003
176,-109.32428811450711
177,-192.29999999999998
178,122.04999999999998
179,143.67143440365737
180,-197.11552931127176
181,171.75000000000003
182,35.54697406982359
183,-308.19999999999993
184,189.49999999999994
185,16.293785497163867
186,131.8
187,-41.0
188,-308.14779919348854
189,147.25
190,-232.08487379695566
