,p1_mean_spa_last,p2_mean_spa_last
0,45.0,79.91666666666667
1,42.5,100.0
2,28.333333333333332,104.91666666666667
3,31.666666666666668,91.58333333333333
4,72.5,93.29166666666667
5,100.0,103.29166666666667
6,55.0,56.666666666666664
7,55.0,92.41666666666667
8,22.5,75.0
9,60.833333333333336,96.66666666666667
10,17.5,90.0
11,30.833333333333332,99.125
12,55.0,75.0
13,56.666666666666664,76.625
14,31.666666666666668,112.41666666666667
15,70.0,103.25
16,70.83333333333333,104.95833333333333
17,39.166666666666664,105.79166666666667
18,45.0,100.0
19,49.166666666666664,87.5
20,47.5,88.29166666666667
21,65.83333333333333,91.625
22,17.5,98.29166666666667
23,26.666666666666668,99.125
24,11.666666666666666,90.83333333333333
25,54.166666666666664,90.79166666666667
26,71.66666666666667,98.33333333333333
27,54.166666666666664,85.75
28,45.0,80.0
29,32.5,81.66666666666667
30,28.333333333333332,99.125
31,65.0,103.29166666666667
32,11.666666666666666,39.166666666666664
33,102.5,83.33333333333333
34,34.166666666666664,95.83333333333333
35,17.5,97.5
36,59.166666666666664,85.0
37,60.833333333333336,109.125
38,85.0,99.16666666666667
39,44.166666666666664,99.16666666666667
40,45.833333333333336,96.66666666666667
41,47.5,90.83333333333333
42,65.83333333333333,89.125
43,77.5,75.0
44,62.5,103.29166666666667
45,60.833333333333336,104.16666666666667
46,50.0,87.5
47,43.333333333333336,85.83333333333333
48,70.83333333333333,97.41666666666667
49,28.333333333333332,98.33333333333333
50,29.166666666666668,99.16666666666667
51,66.66666666666667,103.25
52,44.166666666666664,89.16666666666667
53,49.166666666666664,95.79166666666667
54,72.5,99.16666666666667
55,88.33333333333333,93.29166666666667
56,87.5,85.83333333333333
57,104.16666666666667,85.0
58,17.5,67.5
59,39.166666666666664,94.125
60,50.833333333333336,100.79166666666667
61,71.66666666666667,83.29166666666667
62,67.5,85.0
63,40.0,99.16666666666667
64,99.16666666666667,103.29166666666667
65,49.166666666666664,95.83333333333333
66,92.5,86.66666666666667
67,69.16666666666667,95.79166666666667
68,28.333333333333332,87.45833333333333
69,45.0,88.25
70,33.333333333333336,109.95833333333333
71,34.166666666666664,98.29166666666667
72,47.5,98.33333333333333
73,45.833333333333336,73.25
74,63.333333333333336,87.5
75,30.0,94.125
76,26.666666666666668,95.83333333333333
77,65.0,99.16666666666667
78,41.666666666666664,95.83333333333333
79,56.666666666666664,100.0
