,p1_mean_spe_last,p2_mean_spe_last
0,26.25,56.416666666666664
1,31.666666666666668,51.875
2,13.333333333333334,78.08333333333333
3,21.666666666666668,78.5
4,49.583333333333336,45.916666666666664
5,78.125,59.666666666666664
6,38.75,46.458333333333336
7,55.0,72.25
8,5.0,47.083333333333336
9,42.083333333333336,82.91666666666667
10,8.333333333333334,64.58333333333333
11,9.583333333333334,61.333333333333336
12,18.75,64.58333333333333
13,44.583333333333336,58.0
14,14.166666666666666,59.958333333333336
15,43.333333333333336,75.16666666666667
16,38.125,69.25
17,26.666666666666668,48.0
18,26.25,45.208333333333336
19,22.5,71.66666666666667
20,23.125,62.375
21,33.75,40.083333333333336
22,8.333333333333334,56.541666666666664
23,20.833333333333332,67.375
24,18.333333333333332,62.083333333333336
25,15.208333333333334,48.0
26,21.25,57.916666666666664
27,40.0,67.875
28,26.25,61.458333333333336
29,35.0,56.25
30,13.333333333333334,70.5
31,32.5,66.33333333333333
32,18.333333333333332,28.75
33,94.16666666666667,47.5
34,38.333333333333336,81.66666666666667
35,8.333333333333334,59.375
36,25.416666666666668,52.291666666666664
37,39.583333333333336,68.0
38,56.666666666666664,58.333333333333336
39,12.083333333333334,64.58333333333333
40,45.833333333333336,64.58333333333333
41,42.083333333333336,70.0
42,27.291666666666668,31.75
43,50.416666666666664,25.208333333333332
44,51.666666666666664,45.291666666666664
45,36.458333333333336,75.0
46,25.208333333333332,67.5
47,28.75,46.666666666666664
48,44.166666666666664,55.375
49,9.583333333333334,64.16666666666667
50,26.666666666666668,53.958333333333336
51,48.75,62.458333333333336
52,17.291666666666668,61.25
53,29.583333333333332,68.625
54,36.666666666666664,37.083333333333336
55,46.666666666666664,72.16666666666667
56,24.375,61.666666666666664
57,71.25,46.041666666666664
58,8.333333333333334,55.833333333333336
59,20.416666666666668,64.25
60,31.666666666666668,57.166666666666664
61,45.416666666666664,47.583333333333336
62,35.416666666666664,59.791666666666664
63,31.666666666666668,61.458333333333336
64,68.33333333333333,71.75
65,22.5,31.875
66,47.083333333333336,44.166666666666664
67,50.416666666666664,52.583333333333336
68,7.083333333333333,35.916666666666664
69,30.625,60.166666666666664
70,22.916666666666668,58.833333333333336
71,27.5,68.41666666666667
72,16.666666666666668,53.125
73,25.208333333333332,54.75
74,34.166666666666664,48.333333333333336
75,16.666666666666668,70.5
76,15.833333333333334,57.708333333333336
77,38.333333333333336,72.08333333333333
78,44.166666666666664,56.041666666666664
79,19.166666666666668,52.916666666666664
80,44.583333333333336,61.458333333333336
81,30.208333333333332,57.583333333333336
82,15.0,48.208333333333336
83,56.666666666666664,61.541666666666664
84,7.916666666666667,60.583333333333336
85,22.291666666666668,90.91666666666667
86,28.333333333333332,60.625
87,26.25,46.833333333333336
88,43.333333333333336,36.458333333333336
89,25.0,54.875
90,13.333333333333334,58.208333333333336
91,32.5,52.5
92,55.0,39.875
93,18.333333333333332,43.333333333333336
94,23.125,23.125
95,30.625,45.083333333333336
96,7.5,36.666666666666664
97,33.333333333333336,63.625
98,14.166666666666666,54.375
99,30.0,50.375
100,17.916666666666668,56.458333333333336
101,25.0,59.791666666666664
102,62.916666666666664,79.25
103,40.0,47.5
104,22.5,81.33333333333333
105,42.083333333333336,35.208333333333336
106,26.666666666666668,53.833333333333336
107,6.666666666666667,46.458333333333336
108,60.208333333333336,47.583333333333336
109,41.458333333333336,80.91666666666667
110,39.166666666666664,58.75
111,38.958333333333336,66.875
112,31.25,38.625
113,52.916666666666664,55.416666666666664
114,45.625,54.458333333333336
115,29.583333333333332,61.958333333333336
116,55.416666666666664,83.41666666666667
117,66.66666666666667,41.125
118,36.458333333333336,81.54166666666667
119,22.916666666666668,66.66666666666667
120,27.083333333333332,89.16666666666667
121,21.666666666666668,52.083333333333336
122,25.833333333333332,46.333333333333336
123,41.666666666666664,52.5
124,38.333333333333336,66.54166666666667
125,48.333333333333336,51.333333333333336
126,16.25,36.125
127,45.0,42.375
128,13.541666666666666,55.416666666666664
129,50.0,42.375
130,40.833333333333336,56.458333333333336
131,40.0,48.333333333333336
132,26.666666666666668,67.375
133,18.333333333333332,32.25
134,49.166666666666664,58.958333333333336
135,29.583333333333332,44.041666666666664
136,62.5,65.83333333333333
137,21.666666666666668,77.16666666666667
138,55.833333333333336,61.458333333333336
139,33.333333333333336,62.25
140,41.666666666666664,50.916666666666664
141,31.25,55.416666666666664
142,22.916666666666668,67.79166666666667
143,51.666666666666664,64.79166666666667
144,53.333333333333336,63.958333333333336
145,21.875,71.54166666666667
146,22.708333333333332,50.0
147,20.0,35.625
148,25.625,50.916666666666664
149,46.458333333333336,95.0
150,47.5,67.91666666666667
151,29.583333333333332,51.458333333333336
152,52.5,45.208333333333336
153,22.5,40.416666666666664
154,22.083333333333332,66.66666666666667
155,48.333333333333336,52.083333333333336
156,52.083333333333336,84.25
157,34.166666666666664,52.291666666666664
158,38.75,43.541666666666664
159,27.5,44.25
160,61.666666666666664,73.41666666666667
161,16.458333333333332,87.5
162,38.125,62.291666666666664
163,13.333333333333334,50.0
164,28.958333333333332,32.291666666666664
165,55.416666666666664,50.291666666666664
166,49.583333333333336,44.791666666666664
167,28.333333333333332,35.5
168,41.458333333333336,67.5
169,14.166666666666666,75.41666666666667
170,9.166666666666666,25.833333333333332
171,20.416666666666668,47.5
172,41.041666666666664,53.0
173,41.666666666666664,45.0
174,50.833333333333336,50.416666666666664
175,46.25,80.0
176,30.625,63.75
177,27.5,67.16666666666667
178,20.0,48.958333333333336
179,16.25,45.833333333333336
180,22.291666666666668,65.70833333333333
181,34.166666666666664,31.25
182,20.0,55.208333333333336
183,32.5,59.041666666666664
184,29.166666666666668,74.58333333333333
185,58.333333333333336,51.25
186,31.666666666666668,53.75
187,36.25,77.5
188,19.166666666666668,50.833333333333336
189,51.25,59.875
190,15.625,42.375
191,21.041666666666668,35.625
192,20.833333333333332,46.041666666666664
193,8.333333333333334,38.916666666666664
194,18.75,51.25
195,26.666666666666668,61.541666666666664
196,45.416666666666664,59.75
197,33.541666666666664,75.83333333333333
198,13.333333333333334,73.41666666666667
199,31.666666666666668,44.041666666666664
200,13.333333333333334,53.125
201,11.25,66.66666666666667
202,32.708333333333336,36.041666666666664
203,32.083333333333336,39.791666666666664
204,45.0,47.166666666666664
205,18.333333333333332,59.375
206,30.416666666666668,76.83333333333333
207,63.333333333333336,66.66666666666667
208,44.166666666666664,76.83333333333333
209,28.333333333333332,69.20833333333333
210,52.5,57.041666666666664
211,64.16666666666667,63.0
212,33.333333333333336,60.208333333333336
213,42.5,52.291666666666664
214,39.791666666666664,58.208333333333336
215,58.333333333333336,55.833333333333336
216,48.333333333333336,72.58333333333333
217,2.9166666666666665,91.75
218,45.833333333333336,64.25
219,27.5,70.0
220,29.166666666666668,72.91666666666667
221,55.0,44.875
222,9.166666666666666,34.166666666666664
223,15.208333333333334,60.208333333333336
224,36.666666666666664,47.916666666666664
225,24.375,58.125
226,11.875,31.958333333333332
227,19.583333333333332,55.5
228,36.666666666666664,37.5
229,60.0,50.583333333333336
230,36.25,60.833333333333336
231,32.5,58.708333333333336
232,27.291666666666668,66.91666666666667
233,37.083333333333336,55.416666666666664
234,50.0,52.583333333333336
235,47.916666666666664,50.833333333333336
236,33.333333333333336,54.541666666666664
237,29.583333333333332,49.25
238,18.125,73.33333333333333
239,54.583333333333336,68.95833333333333
240,21.666666666666668,51.25
241,22.916666666666668,36.458333333333336
242,27.5,80.41666666666667
243,42.5,63.916666666666664
244,29.583333333333332,57.916666666666664
245,50.0,57.083333333333336
246,68.33333333333333,41.041666666666664
247,28.333333333333332,71.25
248,16.666666666666668,55.0
249,34.166666666666664,61.666666666666664
250,38.75,68.20833333333333
251,65.83333333333333,34.166666666666664
252,7.083333333333333,69.41666666666667
