,offensive_ratio_difference
0,-0.014743692752691828
1,-0.01334170031649018
2,0.05406377367537751
3,-0.07282552753474025
4,-0.08136792452830188
5,-0.07584338083059317
6,-0.1434769788112389
7,-0.060146923783287454
8,-0.06599469055915053
9,0.05487341617037944
10,0.10160538153604892
11,-0.04009433962264142
12,-0.00918145035792084
13,-0.018411712511091416
14,0.054455445544554504
15,-0.04431687715269805
16,-0.09525111658007468
17,-0.07863978127136018
18,-0.020696762373686672
19,-0.02693274508798038
20,0.1536621066261331
21,-0.0874680149212319
22,0.04428812945296445
23,-0.01186853317102865
24,0.07990099009900997
25,-0.03428571428571425
26,0.10175866879234763
27,-0.12997903563941304
28,-0.0146227982718512
29,-0.0011001100110010764
30,0.03201733269138174
31,0.07559288537549391
32,0.03321117148995323
33,0.1007625272331154
34,0.014364958919880655
35,0.10977701543739271
36,-0.06217616580310881
37,-0.035578972294577405
38,0.006620610247553227
39,0.014791573285522164
40,0.07314703432960123
41,0.02011167563760763
42,0.02572236180904519
43,-0.030834072759538644
44,-0.09925340360122958
45,0.020872865275142205
46,-0.07526315789473692
47,0.10843850416802503
48,-0.13813071572331492
49,0.01770950290905371
50,0.006620610247553227
51,0.000986745213549467
52,-0.04005859769650433
53,0.07214076246334322
54,0.028654970760233933
55,-0.03301333840255993
56,-0.04066961076306863
57,0.007475575490423436
58,0.04278074866310155
59,-0.012914453196556153
60,-0.06894934333958724
61,-0.022824919441460922
62,-0.03360473723168034
63,0.16686231033433319
64,0.07908496732026149
65,0.058580722759827175
66,0.06225425950196595
67,0.08244348244348243
68,-0.021258503401360596
69,-0.029122577020320284
70,0.04397796031504586
71,-0.10307692307692307
72,0.05553339538181978
73,0.030131826741996326
74,-0.09361744105751202
75,-0.12864917752094418
76,-0.04577932020006126
77,-0.013227513227513255
78,0.052494965316625675
79,-0.05542638565964153
80,-0.002645502645502562
81,0.025696525696525585
82,-0.005794137695978252
83,-0.03134286515278939
84,-0.13655717761557173
85,0.10836446762872476
86,0.09298416829321177
87,0.03619372543202548
88,0.07979346321728942
89,-0.012627551020408356
90,-0.04454869196000555
91,-0.022002551020408267
92,-0.031335262505167494
93,-0.05731346330509335
94,0.009389671361502372
95,-0.02254614093959728
96,-0.031031969176299246
97,-0.028102469703942257
98,0.016834745192954248
99,-0.028085393069182008
100,0.013770024138687775
101,-0.025139128766071828
102,-0.0589173155357805
103,0.017332603539500058
104,0.0205512427032557
105,0.023867924528301776
106,0.04802530674846617
107,-0.020901114068815785
108,-0.12861323459149554
109,-0.15864887930647265
110,0.017769176636171835
111,-0.03919488850165398
112,-0.00831847890671411
113,-0.006620610247553227
114,-0.006303821691900913
115,0.027869189633895397
116,-0.02030651340996159
117,-0.03881425988116782
118,-0.04739978331527617
119,-0.07748228825208836
120,0.02604166666666674
121,-0.07505841121495327
122,0.06534057372211077
123,-0.022002551020408267
124,-0.08586448598130836
125,-0.11216200863440129
126,-0.08761792452830197
127,0.0407389711737538
128,0.013917904127378478
129,-0.030458406673299132
130,-0.07810047095761363
131,0.04849051562917439
132,0.004725480197178333
133,-0.12471556100122516
134,0.14401543514711612
135,0.03086164043082018
136,-0.03512188992209109
137,0.07834928229665061
138,0.016594013368206983
139,-0.06437073341501831
140,0.039163936415483436
141,0.043370641411967226
142,-0.03194915254237285
143,0.12318643041041955
144,-0.0022724753353287053
145,0.02130681818181812
146,-0.03739367677740324
147,-0.07332337007285639
148,-0.018569175811798067
149,0.14650294931985075
150,-0.01904761904761909
151,-0.045168466965252785
152,-0.06515414676508913
153,-0.014302628463177758
154,0.044471153846153744
155,0.05331278071597523
156,-0.08902821316614429
157,-0.042471732305571885
158,-0.03036403750689476
159,0.08740322058347305
160,-0.023825966850828717
161,-0.08985535961957591
162,0.007720720258554303
163,0.061224489795918435
164,-0.05331278071597523
165,0.03847771236333042
166,0.05378151260504205
167,0.052004682470002894
168,0.022273425499231836
169,0.033491311216429676
170,0.03919488850165398
171,-0.09980796442288264
172,-0.12240205446727181
173,-0.046924468566259536
174,-0.06440294284097337
175,-0.0504336562288803
176,-0.017602996254681758
177,-0.08788071065989844
178,0.02852231964926255
179,0.007427114510586419
180,0.0006678281068526193
181,0.015487080725405278
182,-0.03471659372129454
183,-0.02546296296296302
184,-0.02325096987528319
185,-0.08491229833643266
186,0.02478035593602157
187,0.016834745192954248
188,-0.01617941029485248
189,0.10945945945945956
190,0.06186957541637339
191,0.01167469688145295
192,-0.07510720028586748
193,-0.10951348472745259
194,-0.01167469688145295
195,-0.03489427505294662
196,-0.06306832706423693
197,-0.079416282642089
198,-0.017954545454545556
199,-0.022020042194092815
200,0.005435470239028906
201,0.024310320683377684
202,-0.0007969089591886025
203,0.010118791161445095
204,-0.0005417118093173912
205,0.015873015873015817
206,-0.1061695118298891
207,-0.06680579543273846
208,-0.02006446414182106
209,0.011965811965811923
210,-0.12836760205181252
211,0.06381570236991907
212,0.0650144243377917
213,-0.006053716823517075
214,-0.0074541284403670804
215,-0.015306980656013325
216,-0.16434882079489865
217,-0.10881032547699221
218,0.06575469204335183
219,0.012703643660137764
220,0.05308572308008008
221,-0.006573834196891282
222,0.014321538032878278
223,-0.0031868882312768854
224,-0.08429556650246317
225,0.013770024138687775
226,-0.15005081300813017
227,0.008781362007168392
228,-0.04210375739080674
229,-0.12719830726005077
230,0.009636959898739805
231,-0.0268276837237742
232,-0.051313785224676334
233,0.1103757231939847
234,-0.0072713356295446285
235,-0.0007363770250368162
236,-0.03819444444444442
237,0.023449696083967186
238,0.0
239,-0.03563218390804579
240,0.007475575490423436
241,0.05602963369460823
242,-0.1757281553398058
243,0.0340942347088089
244,0.05449531433033983
245,-0.054732560257422014
246,0.011270161880507112
247,0.0724399198062855
248,-0.15705838876570577
249,0.015420496638770764
250,-0.0052272442719421
251,-0.006053716823517075
252,0.052033463900575505
253,-0.07929764939110728
254,-0.007017543859649145
255,-0.03498478922207737
256,-0.008044554455445496
257,-0.1359768907563026
258,-0.00010752688172055436
259,0.00570405070267288
260,0.03976673490911342
261,0.06585706382866618
262,-0.0010450880859960154
263,-0.09752922492124239
264,-0.12274655355249209
265,0.14407114104554197
266,-0.0605714285714285
267,0.025098702763677316
268,-0.05155254777070062
269,0.015019633507853403
270,0.13989208248744534
271,0.015625
272,-0.1598932676518885
273,-0.09023280238053544
274,-0.01016383495145634
275,-0.013877160389573984
276,0.08834333007857897
277,0.06989247311827951
278,-0.11358201817312297
279,-0.044841950502327865
280,0.03989490600209167
281,-0.005709789816792155
282,0.03635145617375346
283,0.0
284,0.01913265306122458
285,-0.06111570247933895
286,-0.015376663651634592
287,-0.07488706945228696
288,0.08535825545171338
289,-0.018817204301075252
290,-0.11599005799502893
291,-0.132493271348177
292,0.06347217872429267
293,-0.06508478081058722
294,-0.06854926675554474
295,0.07849390708301607
