,p2_sum_hp_last
0,498.9
1,695.0
2,623.9
3,588.9
4,731.95
5,781.95
6,335.0
7,538.9
8,405.0
9,635.0
10,365.0
11,791.95
12,550.0
13,666.95
14,678.9
15,668.9
16,676.95
17,622.95
18,665.0
19,590.0
20,566.95
21,667.95
22,701.95
23,726.95
24,695.0
25,596.95
26,650.0
27,578.9
28,715.0
29,450.0
30,511.95
31,661.95
32,295.0
33,605.0
34,705.0
35,685.0
36,745.0
37,711.95
38,700.0
39,765.0
40,690.0
41,676.0
42,761.95
43,525.0
44,716.95
45,725.0
46,350.0
47,730.0
48,748.9
49,730.0
50,700.0
51,679.9
52,460.0
53,411.95
54,700.0
55,526.95
56,705.0
57,745.0
58,465.0
59,516.95
60,746.95
61,601.95
62,745.0
63,445.0
64,596.95
65,710.0
66,595.0
67,676.95
68,646.95
69,728.9
70,626.95
71,782.95
72,615.0
73,598.9
74,715.0
75,727.95
76,655.0
77,700.0
78,720.0
79,735.0
80,710.0
81,516.95
82,551.95
83,541.95
84,568.9
85,439.95
86,645.0
87,608.9
88,395.0
89,761.95
90,736.95
91,740.0
92,776.95
93,765.0
94,630.0
95,736.95
96,530.0
97,726.95
98,725.0
99,588.9
100,600.0
101,745.0
102,701.95
103,580.0
104,536.95
105,635.0
106,711.95
107,470.0
108,796.95
109,571.95
110,695.0
111,725.0
112,766.95
113,745.0
114,711.95
115,696.95
116,691.95
117,661.95
118,601.95
119,745.0
120,660.0
121,690.0
122,686.95
123,740.0
124,731.95
125,691.95
126,601.95
127,766.95
128,575.0
129,556.95
130,750.0
131,660.0
132,726.95
133,393.9
134,595.0
135,411.95
136,735.0
137,476.95
138,705.0
139,798.9
140,746.95
141,730.0
142,446.95
143,690.0
144,765.0
145,376.95
146,725.0
147,405.0
148,781.95
149,380.0
150,645.0
151,690.0
152,641.0
153,545.0
154,580.0
155,730.0
156,471.95
157,745.0
158,700.0
159,616.95
160,731.95
161,690.0
162,730.0
163,430.0
164,640.0
165,746.95
166,710.0
167,601.95
168,720.0
169,525.0
170,570.0
171,620.0
172,766.95
173,670.0
174,725.0
175,700.0
176,735.0
177,731.95
178,420.0
179,705.0
180,741.95
181,630.0
182,705.0
183,731.95
184,520.0
185,635.0
186,650.0
187,725.0
188,710.0
189,701.95
190,701.95
191,485.0
192,745.0
193,498.9
194,635.0
195,716.95
196,623.9
197,705.0
198,731.95
199,751.95
200,720.0
201,745.0
202,730.0
203,536.0
204,776.95
205,450.0
206,738.9
207,745.0
208,504.9
209,680.85
210,718.9
211,746.95
212,685.0
213,745.0
214,481.95
215,730.0
216,522.95
217,466.95
218,571.95
219,600.0
220,735.0
221,761.95
222,510.0
223,520.0
224,671.0
225,695.0
226,666.95
227,571.95
228,525.0
229,638.9
230,735.0
231,568.9
232,580.85
233,375.0
234,481.95
235,710.0
236,748.9
237,721.95
238,715.0
239,730.0
240,650.0
241,635.0
242,550.75
243,693.9
244,650.0
245,750.0
246,745.0
247,690.0
248,680.0
249,695.0
250,711.95
251,585.0
252,530.85
253,716.95
254,511.95
255,495.0
256,386.95
257,761.95
258,510.0
259,640.0
260,706.95
261,640.0
262,720.0
263,576.95
264,711.95
265,471.95
266,717.95
267,720.0
268,736.95
269,761.95
270,546.95
271,731.95
272,743.9
273,753.9
274,740.0
275,735.0
276,630.0
277,645.0
278,386.95
279,540.0
280,470.0
281,535.0
282,711.95
283,635.0
284,731.95
285,708.9
286,485.0
287,605.0
288,690.0
289,731.95
290,721.95
291,630.0
292,690.0
293,705.0
294,700.0
295,650.0
296,696.95
297,700.0
298,756.95
299,645.0
300,725.0
301,743.9
302,725.0
303,731.95
304,545.0
305,670.0
306,701.95
307,666.95
308,603.0
309,670.0
310,751.95
311,731.95
312,716.95
313,718.9
314,481.95
315,451.95
316,546.95
317,695.0
318,705.0
319,711.95
320,600.0
321,690.0
322,480.0
323,761.95
324,640.0
325,450.0
326,511.95
327,634.95
328,715.0
329,691.95
330,765.0
331,711.95
332,745.0
333,495.0
334,456.95
335,610.0
336,715.0
337,731.95
338,405.0
339,661.95
340,480.0
341,745.0
342,535.0
343,671.95
344,662.95
345,690.0
346,551.95
347,565.0
348,661.95
349,721.95
350,710.0
351,621.95
352,731.95
353,745.0
354,551.95
355,515.0
356,740.0
357,395.0
358,746.95
359,695.0
360,511.95
361,735.0
362,661.95
363,731.95
364,360.0
365,746.95
366,485.0
367,505.0
368,765.0
369,638.9
370,770.0
371,681.95
372,620.0
373,460.0
374,685.0
375,436.95
376,695.0
377,619.75
378,395.0
379,380.0
380,519.9
381,525.0
382,751.95
383,801.95
384,735.0
385,710.0
386,780.85
387,660.0
388,715.0
389,585.0
390,566.95
391,486.95
392,700.0
393,537.95
394,630.0
395,716.95
396,660.0
397,600.0
398,630.0
399,721.95
400,536.95
401,700.0
402,766.95
403,665.0
404,471.95
405,693.9
406,636.95
407,660.0
408,666.95
409,740.0
410,730.0
411,666.95
412,482.95
413,715.0
414,511.95
415,646.0
416,650.0
417,445.0
418,591.95
419,685.0
420,395.0
421,730.0
422,695.0
423,695.0
424,695.0
425,651.0
426,526.95
427,396.95
428,731.95
429,440.0
430,535.0
431,635.0
432,695.0
433,551.95
434,571.0
435,748.9
436,700.0
437,570.0
438,720.0
439,666.0
440,706.95
441,795.0
442,756.95
443,706.95
444,700.0
445,731.95
446,350.0
447,461.95
448,705.0
449,753.9
450,731.95
451,540.0
452,710.0
453,535.0
454,695.0
455,445.0
456,720.0
457,700.0
458,680.85
459,746.95
460,766.95
461,740.0
462,580.0
463,661.95
464,711.95
465,695.0
466,691.0
467,736.95
468,510.0
469,666.95
470,635.0
471,761.95
472,655.0
473,531.95
474,640.0
475,623.9
476,355.0
477,726.95
478,620.0
479,601.95
480,661.95
481,540.0
482,656.9
483,650.0
484,728.9
485,419.95
486,761.95
487,571.95
488,670.0
489,716.95
490,706.95
491,481.95
492,716.95
493,671.95
494,375.0
495,570.0
496,506.95
497,780.0
498,725.0
499,645.0
500,731.95
501,765.0
502,475.0
503,550.0
504,630.0
505,546.95
506,541.95
507,445.0
508,635.0
509,730.0
510,748.9
511,595.0
512,565.0
513,515.0
514,713.9
515,571.95
516,650.0
517,745.0
518,400.0
519,775.0
520,626.95
521,695.0
522,580.0
523,730.0
524,305.0
525,746.95
526,566.95
527,726.95
528,765.0
529,691.95
530,705.0
531,730.0
532,743.9
533,575.0
534,535.0
535,646.95
536,670.0
537,745.0
538,745.0
539,695.0
540,721.95
541,536.95
542,691.0
543,718.9
544,545.0
545,571.95
546,765.0
547,536.95
548,740.0
549,543.9
550,701.95
551,660.0
552,715.0
553,675.0
554,695.0
555,648.9
556,494.0
557,605.0
558,635.0
559,685.0
560,535.0
561,700.0
562,541.95
563,746.95
564,539.75
565,781.95
566,715.0
567,386.95
568,390.0
569,731.95
570,766.95
571,511.95
572,615.0
573,745.0
574,407.9
575,580.0
576,695.0
577,746.95
578,626.95
579,715.0
580,445.0
581,701.95
582,420.0
583,745.0
584,670.0
585,745.0
586,666.95
587,781.95
588,721.95
589,666.95
590,551.95
591,743.9
592,700.0
593,640.0
594,745.0
595,641.95
596,530.85
597,705.0
598,526.95
599,565.0
600,676.95
601,705.0
602,635.0
603,540.0
604,400.0
605,555.0
606,531.95
607,731.95
608,653.9
609,700.0
610,746.95
611,695.0
612,763.9
613,641.95
614,660.0
615,520.0
616,435.0
617,630.0
618,820.0
619,365.0
620,720.0
621,695.0
622,538.9
623,580.0
624,561.0
625,745.0
626,731.95
627,510.0
628,400.0
629,541.95
630,666.95
631,600.0
632,616.95
633,670.0
634,641.95
635,746.95
636,546.95
637,705.0
638,445.0
639,420.0
640,495.0
641,403.9
642,746.95
643,471.95
644,583.9
645,635.0
646,570.0
647,531.95
648,711.95
649,640.0
650,390.0
651,730.0
652,581.95
653,616.95
654,555.0
655,541.9
656,711.95
657,745.0
658,770.0
659,750.0
660,716.95
661,601.95
662,465.0
663,520.0
664,746.95
665,506.95
666,740.0
667,715.0
668,556.95
669,720.0
670,661.95
671,475.0
672,676.95
673,410.0
674,655.0
675,800.0
676,735.0
677,556.95
678,731.95
679,521.95
680,485.0
681,435.0
682,620.0
683,745.0
684,731.95
685,645.0
686,705.0
687,745.0
688,535.0
689,716.95
690,331.95
691,385.0
692,635.0
693,540.0
694,726.95
695,640.0
696,416.0
697,486.95
698,641.95
699,555.0
700,701.95
701,616.95
702,460.0
703,580.0
704,761.95
705,736.95
706,620.0
707,630.0
708,651.95
709,440.0
710,260.0
711,693.9
712,673.9
713,761.95
714,660.0
715,700.0
716,740.0
717,676.95
718,710.0
719,731.95
720,520.0
721,725.0
722,641.95
723,666.95
724,676.95
725,661.95
726,520.0
727,695.0
728,505.0
729,566.95
730,711.95
731,610.0
732,706.95
733,573.9
734,456.95
735,725.0
736,466.95
737,710.0
738,681.0
739,753.9
740,605.0
741,670.0
742,746.95
743,461.95
744,748.9
745,465.0
746,511.95
747,640.0
748,748.9
749,445.0
750,529.9
751,666.95
752,726.95
753,685.0
754,706.95
755,711.95
756,725.0
757,735.0
758,596.95
759,665.0
760,711.95
761,680.0
762,745.0
763,758.9
764,301.95
765,701.95
766,671.95
767,736.95
768,316.95
769,583.9
770,740.0
771,391.95
772,745.0
773,745.0
774,475.0
775,491.95
776,553.9
777,546.95
778,753.9
779,455.0
780,725.0
781,676.95
782,725.0
783,605.0
784,751.95
785,535.85
786,761.95
787,561.95
788,545.0
789,695.0
790,491.95
791,666.95
792,720.0
793,661.0
794,725.0
795,485.0
796,695.0
797,748.9
798,540.0
799,716.95
800,713.9
801,496.0
802,775.0
803,695.0
804,746.95
805,465.0
806,656.95
807,695.0
808,735.0
809,360.0
810,671.95
811,725.0
812,631.0
813,610.0
814,640.0
815,745.0
816,525.85
817,725.0
818,586.95
819,665.0
820,701.95
821,591.95
822,675.0
823,520.0
824,587.8
825,376.95
826,730.0
827,740.0
828,705.0
829,490.0
830,445.0
831,635.0
832,711.95
833,736.95
834,716.95
835,698.9
836,551.95
837,798.9
838,420.0
839,650.0
840,661.95
841,726.95
842,576.0
843,550.0
844,660.0
845,520.0
846,636.95
847,735.0
848,500.0
849,776.95
850,786.95
851,705.0
852,750.0
853,576.95
854,488.9
855,695.0
856,575.0
857,736.95
858,476.0
859,565.0
860,690.0
861,475.0
862,400.0
863,571.95
864,653.9
865,700.0
866,745.0
867,721.95
868,751.95
869,520.0
870,684.9
871,541.95
872,660.0
873,815.0
874,705.0
875,690.0
876,750.0
877,568.9
878,485.0
879,701.95
880,546.95
881,681.95
882,750.0
883,601.95
884,360.0
885,390.0
886,555.0
887,755.0
888,816.95
889,530.0
890,695.0
891,705.0
892,700.0
893,711.95
894,350.0
895,565.85
896,695.0
897,705.0
898,723.9
899,726.95
900,640.0
901,731.95
902,756.95
903,540.0
904,536.0
905,460.0
906,476.95
907,445.0
908,670.0
909,735.0
910,725.0
911,455.0
912,740.0
913,746.95
914,731.95
915,705.0
916,711.95
917,455.0
918,602.95
919,503.9
920,605.0
921,590.0
922,696.95
923,725.0
924,376.95
925,650.0
926,555.85
927,600.0
928,556.95
929,751.95
930,690.0
931,565.0
932,591.95
933,460.0
934,701.95
935,695.0
936,667.8
937,766.95
938,660.0
939,480.0
940,723.9
941,720.0
942,580.0
943,731.95
944,676.95
945,635.0
946,570.0
947,710.0
948,641.95
949,455.0
950,753.9
951,731.95
952,425.0
953,325.0
954,662.95
955,695.0
956,395.0
957,551.95
958,780.0
959,650.0
960,730.0
961,336.0
962,495.0
963,650.0
964,700.0
965,385.0
966,731.95
967,540.0
968,545.0
969,530.0
970,778.9
971,766.95
972,731.95
973,740.0
