,p1_def_trend,p2_def_trend,def_trend_diff
0,-14.166666666666671,-0.8333333333333286,-13.333333333333343
1,-30.83333333333333,0.0,-30.83333333333333
2,-14.166666666666671,0.0,-14.166666666666671
3,-24.999999999999993,0.0,-24.999999999999993
4,-10.833333333333343,0.0,-10.833333333333343
5,0.0,0.0,0.0
6,-65.83333333333333,-11.666666666666657,-54.16666666666667
7,-28.333333333333336,0.0,-28.333333333333336
8,-76.66666666666666,-0.8333333333333286,-75.83333333333333
9,-21.66666666666667,0.0,-21.66666666666667
10,-50.0,-21.666666666666657,-28.333333333333343
11,-30.833333333333332,0.0,-30.833333333333332
12,-11.666666666666664,-10.833333333333336,-0.8333333333333286
13,-21.66666666666667,-10.0,-11.666666666666671
14,-15.0,0.0,-15.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,-35.833333333333336,0.0,-35.833333333333336
18,0.0,0.0,0.0
19,-50.0,0.0,-50.0
20,-0.8333333333333286,-30.000000000000007,29.16666666666668
21,-15.833333333333336,0.0,-15.833333333333336
22,-32.5,0.0,-32.5
23,-14.166666666666664,0.0,-14.166666666666664
24,-53.333333333333336,0.0,-53.333333333333336
25,-10.0,0.0,-10.0
26,-20.0,0.0,-20.0
27,-10.833333333333343,0.0,-10.833333333333343
28,-35.833333333333336,0.0,-35.833333333333336
29,-40.0,-0.8333333333333286,-39.16666666666667
30,-37.5,0.0,-37.5
31,-5.833333333333336,0.0,-5.833333333333336
32,-42.5,-31.666666666666664,-10.833333333333336
33,0.0,0.0,0.0
34,-35.83333333333333,0.0,-35.83333333333333
35,-13.333333333333336,0.0,-13.333333333333336
36,0.0,0.0,0.0
37,-24.166666666666664,0.0,-24.166666666666664
38,0.0,0.0,0.0
39,-5.833333333333336,0.0,-5.833333333333336
40,-25.0,0.0,-25.0
41,-10.833333333333329,0.0,-10.833333333333329
42,-19.999999999999993,0.0,-19.999999999999993
43,-10.833333333333336,-0.8333333333333357,-10.0
44,-14.166666666666671,0.0,-14.166666666666671
45,0.0,0.0,0.0
46,-50.83333333333334,-10.833333333333329,-40.000000000000014
47,-25.0,0.0,-25.0
48,0.0,0.0,0.0
49,-35.0,0.0,-35.0
