,p1_avg_move_power
0,97.1875
1,96.0
2,86.45454545454545
3,103.66666666666667
4,47.8421052631579
5,90.33333333333333
6,100.27777777777777
7,106.66666666666667
8,112.5
9,89.13333333333334
10,107.22222222222223
11,93.06666666666666
12,81.07142857142857
13,87.06666666666666
14,91.53846153846153
15,103.23529411764706
16,90.8
17,97.77777777777777
18,56.38095238095238
19,93.33333333333333
20,102.5
21,67.55555555555556
22,62.875
23,100.71428571428571
24,94.73684210526316
25,76.42857142857143
26,82.86363636363636
27,45.2
28,92.05882352941177
29,71.38888888888889
30,67.0
31,96.66666666666667
32,82.4090909090909
33,81.55
34,94.0952380952381
35,80.81818181818181
36,88.94736842105263
37,75.45
38,50.21052631578947
39,98.18181818181819
40,73.78571428571429
41,100.8
42,76.16666666666667
43,95.26315789473684
44,102.0
45,110.38461538461539
46,100.0
47,84.84210526315789
48,61.904761904761905
49,72.95833333333333
50,93.18181818181819
51,90.27777777777777
52,64.33333333333333
53,75.85714285714286
54,41.388888888888886
55,91.15384615384616
56,96.0
57,96.15384615384616
58,100.27272727272727
59,94.21052631578948
60,57.36842105263158
61,106.07142857142857
62,75.04166666666667
63,78.83333333333333
64,101.5625
65,103.0952380952381
66,88.13636363636364
67,83.88235294117646
68,69.3529411764706
69,44.05882352941177
70,110.75
71,94.0
72,82.52631578947368
73,103.125
74,98.75
75,105.29411764705883
76,51.2
77,59.125
78,95.4
79,100.71428571428571
80,66.66666666666667
81,102.33333333333333
82,35.4
83,85.58333333333333
84,68.75
85,51.08695652173913
86,104.72222222222223
87,85.13333333333334
88,91.28571428571429
89,81.83333333333333
90,73.375
91,70.84210526315789
92,67.78571428571429
93,103.4375
94,90.33333333333333
95,62.421052631578945
96,112.66666666666667
97,74.875
98,114.44444444444444
99,68.55555555555556
100,98.375
101,92.6470588235294
102,84.2
103,82.86363636363636
104,103.07692307692308
105,102.94117647058823
106,65.15789473684211
107,65.9
108,93.61111111111111
109,109.5
110,100.9375
111,104.0
112,65.29411764705883
113,90.27777777777777
114,62.94117647058823
115,106.30434782608695
116,93.92857142857143
117,54.0
118,97.3076923076923
119,104.16666666666667
120,106.25
121,98.05555555555556
122,85.07142857142857
123,87.72222222222223
124,76.6
125,81.6
126,74.38888888888889
127,33.6
128,102.05882352941177
129,94.61538461538461
130,83.7
131,102.1875
132,101.0
133,89.47058823529412
134,101.3157894736842
135,89.0
136,82.42105263157895
137,88.63636363636364
138,102.5
139,45.1875
140,96.17647058823529
141,65.13636363636364
142,95.3125
143,74.77272727272727
144,101.05263157894737
145,97.95454545454545
146,92.10526315789474
147,69.75
148,99.16666666666667
149,97.6086956521739
150,91.11111111111111
151,80.53846153846153
152,95.75
153,50.44444444444444
154,74.5
155,95.27777777777777
156,37.19047619047619
157,93.80952380952381
158,81.55555555555556
159,98.57142857142857
160,92.27272727272727
161,108.75
162,105.3125
163,107.5
164,67.07142857142857
165,90.125
166,68.6
167,35.111111111111114
168,90.38461538461539
169,105.78947368421052
170,87.85714285714286
171,104.77272727272727
172,88.66666666666667
173,71.0
174,84.52380952380952
175,78.66666666666667
176,97.5
177,84.33333333333333
178,73.4375
179,103.42105263157895
180,64.66666666666667
181,72.84615384615384
182,49.31818181818182
183,27.7
184,66.625
185,99.28571428571429
186,95.5
187,94.3
188,67.71428571428571
189,96.81818181818181
190,89.11764705882354
191,92.0
192,68.43478260869566
193,58.857142857142854
194,102.95454545454545
195,25.176470588235293
196,100.0
197,95.0
198,15.0
199,76.05555555555556
200,73.66666666666667
201,103.91304347826087
202,98.15789473684211
203,103.75
204,81.9047619047619
205,62.9
206,89.6875
207,89.5
208,89.75
209,112.66666666666667
210,96.33333333333333
211,61.8235294117647
212,92.94117647058823
213,105.23809523809524
214,71.5
215,92.6470588235294
216,61.92307692307692
217,46.84
218,96.0
219,73.78571428571429
220,81.76190476190476
221,74.42105263157895
222,78.8
223,91.11111111111111
224,61.166666666666664
225,107.36842105263158
226,72.5
227,112.5
228,105.0
229,58.5
230,103.57142857142857
231,99.16666666666667
232,89.28571428571429
233,74.08333333333333
234,100.0
235,106.66666666666667
236,88.91304347826087
237,20.142857142857142
238,95.46666666666667
239,87.71428571428571
240,55.0625
241,107.77777777777777
242,0.0
243,114.11764705882354
244,62.473684210526315
245,102.6470588235294
246,81.21428571428571
247,37.86363636363637
248,95.41666666666667
249,109.28571428571429
250,70.47619047619048
251,46.714285714285715
252,1.0
253,106.66666666666667
254,92.8125
255,106.5909090909091
256,87.66666666666667
257,90.47619047619048
258,105.0
259,80.4
260,92.85714285714286
261,93.61111111111111
262,111.9047619047619
263,41.53333333333333
264,85.27777777777777
265,97.05882352941177
266,91.625
267,90.55555555555556
268,88.25
269,106.3157894736842
270,98.88888888888889
271,81.8
272,89.41176470588235
273,88.33333333333333
274,94.16666666666667
275,106.0
276,89.70588235294117
277,90.0
278,95.94117647058823
279,102.27272727272727
280,59.8
281,94.0909090909091
282,67.5
283,71.4375
284,88.23076923076923
285,78.375
286,102.3529411764706
287,79.5
288,85.1
289,96.78571428571429
290,47.36363636363637
291,88.88888888888889
292,100.0
293,62.888888888888886
294,103.08333333333333
295,90.68181818181819
296,86.875
297,90.83333333333333
298,52.0
299,108.15789473684211
300,95.0
301,96.76470588235294
302,111.33333333333333
303,66.33333333333333
304,92.91666666666667
305,43.541666666666664
306,55.4
307,98.5
308,85.04545454545455
309,89.66666666666667
310,39.61904761904762
311,100.5
312,100.0
313,86.81818181818181
314,72.91666666666667
315,91.94444444444444
316,102.0
317,84.38095238095238
318,99.66666666666667
319,100.41666666666667
320,73.42857142857143
321,107.14285714285714
