,p2_mean_atk_last
0,74.63333333333334
1,72.5
2,64.63333333333334
3,95.46666666666665
4,78.14999999999999
5,71.48333333333333
6,66.66666666666667
7,79.63333333333334
8,67.5
9,75.0
10,70.83333333333333
11,73.98333333333333
12,62.5
13,64.81666666666666
14,69.63333333333334
15,74.63333333333334
16,64.81666666666666
17,72.98333333333333
18,63.333333333333336
19,95.83333333333333
20,55.65
21,83.81666666666666
22,73.98333333333333
23,73.98333333333333
24,75.83333333333333
25,89.81666666666666
26,70.83333333333333
27,90.46666666666665
28,78.33333333333333
29,74.16666666666667
30,91.48333333333333
31,74.81666666666666
32,47.5
33,75.83333333333333
34,75.0
35,75.83333333333333
36,85.83333333333333
37,68.14999999999999
38,75.0
39,74.16666666666667
40,78.33333333333333
41,89.83333333333333
42,83.14999999999999
43,73.33333333333333
44,72.31666666666666
45,74.16666666666667
46,61.666666666666664
47,81.66666666666667
48,75.46666666666667
49,79.16666666666667
50,75.0
51,79.46666666666667
52,65.0
53,73.98333333333333
54,75.0
55,89.81666666666666
56,69.16666666666667
57,85.83333333333333
58,74.16666666666667
59,46.48333333333333
60,69.81666666666666
61,53.98333333333333
62,85.83333333333333
63,89.16666666666667
64,64.81666666666666
65,77.5
66,96.66666666666667
67,68.14999999999999
68,56.48333333333333
69,76.3
70,66.48333333333333
71,80.48333333333333
72,72.5
73,62.96666666666667
74,79.16666666666667
75,82.98333333333333
76,75.0
77,75.0
78,82.5
79,77.5
80,80.83333333333333
81,88.98333333333333
82,51.48333333333333
83,83.98333333333333
84,87.13333333333333
85,81.31666666666666
86,75.0
87,91.3
88,59.166666666666664
89,83.14999999999999
90,73.98333333333333
91,81.66666666666667
92,78.14999999999999
93,74.16666666666667
94,67.5
95,73.98333333333333
96,85.0
97,73.98333333333333
98,75.0
99,57.13333333333333
100,56.666666666666664
101,85.83333333333333
102,68.98333333333333
103,63.333333333333336
104,85.64999999999999
105,60.0
106,69.81666666666666
107,78.33333333333333
108,83.14999999999999
109,90.64999999999999
110,72.5
111,75.0
112,76.48333333333333
113,85.83333333333333
114,69.81666666666666
115,73.14999999999999
116,64.81666666666666
117,57.31666666666666
118,63.15
119,85.83333333333333
120,67.5
121,78.33333333333333
122,76.48333333333333
123,81.66666666666667
124,78.14999999999999
125,58.15
126,64.81666666666666
127,78.14999999999999
128,59.166666666666664
129,81.48333333333333
130,81.66666666666667
131,70.0
132,73.98333333333333
133,59.63333333333333
134,72.5
135,75.64999999999999
136,83.33333333333333
137,80.64999999999999
138,72.5
139,77.96666666666667
140,69.81666666666666
141,79.16666666666667
142,83.98333333333333
143,80.0
144,74.16666666666667
145,68.98333333333333
146,75.0
147,61.666666666666664
148,71.48333333333333
149,82.5
150,68.33333333333333
151,74.16666666666667
152,66.5
153,86.66666666666667
154,92.5
155,72.5
156,80.64999999999999
157,85.83333333333333
158,68.33333333333333
159,57.31666666666666
160,78.14999999999999
161,71.66666666666667
162,70.83333333333333
163,72.5
164,59.166666666666664
165,69.81666666666666
166,82.5
167,64.81666666666666
168,78.33333333333333
169,90.0
170,54.166666666666664
171,67.5
172,78.14999999999999
173,66.66666666666667
174,78.33333333333333
175,71.66666666666667
176,66.66666666666667
177,78.14999999999999
178,77.5
179,72.5
180,72.31666666666666
181,62.5
182,72.5
183,78.14999999999999
184,80.83333333333333
185,63.333333333333336
186,70.0
187,75.0
188,71.66666666666667
189,76.48333333333333
190,73.14999999999999
191,38.333333333333336
192,85.83333333333333
193,74.63333333333334
194,63.333333333333336
195,79.81666666666666
196,84.63333333333334
197,72.5
198,78.14999999999999
199,72.31666666666666
200,82.5
201,85.83333333333333
202,79.16666666666667
203,100.66666666666667
204,87.31666666666666
205,74.16666666666667
206,70.46666666666667
207,85.83333333333333
208,88.63333333333333
209,66.11666666666667
210,67.96666666666667
211,71.48333333333333
212,74.16666666666667
213,85.83333333333333
214,77.31666666666666
215,77.5
216,101.31666666666666
217,88.14999999999999
218,56.48333333333333
219,55.0
220,76.66666666666667
221,83.14999999999999
222,40.0
223,88.33333333333333
224,74.0
225,72.5
226,67.31666666666666
227,92.31666666666666
228,40.0
229,67.96666666666667
230,75.0
231,87.13333333333333
232,83.61666666666667
233,70.83333333333333
234,83.98333333333333
235,65.83333333333333
236,73.8
237,72.31666666666666
238,78.33333333333333
239,77.5
240,70.0
241,60.0
242,92.25
243,78.8
244,70.83333333333333
245,81.66666666666667
246,85.83333333333333
247,70.83333333333333
248,72.5
249,70.83333333333333
250,69.81666666666666
251,67.5
252,89.45
253,72.31666666666666
254,79.81666666666666
255,47.5
256,61.48333333333333
257,83.14999999999999
258,80.0
259,59.166666666666664
260,68.98333333333333
261,75.83333333333333
262,82.5
263,90.64999999999999
264,68.14999999999999
265,93.98333333333333
266,77.98333333333333
267,82.5
268,76.48333333333333
269,83.14999999999999
270,98.14999999999999
271,78.14999999999999
272,71.3
273,71.3
274,81.66666666666667
275,75.0
276,67.5
277,68.33333333333333
278,67.31666666666666
279,84.16666666666667
280,81.66666666666667
281,85.0
282,69.81666666666666
283,60.0
284,78.14999999999999
285,67.96666666666667
286,76.66666666666667
287,61.666666666666664
288,78.33333333333333
289,75.64999999999999
290,69.81666666666666
291,59.166666666666664
292,78.33333333333333
293,72.5
294,68.33333333333333
295,70.83333333333333
296,69.81666666666666
297,75.0
298,66.48333333333333
299,64.16666666666667
300,75.0
301,71.3
302,75.0
303,75.64999999999999
304,54.166666666666664
305,66.66666666666667
306,72.31666666666666
307,84.81666666666666
308,75.66666666666667
309,64.16666666666667
310,72.31666666666666
311,78.14999999999999
312,72.31666666666666
313,67.96666666666667
314,75.64999999999999
315,69.81666666666666
316,85.64999999999999
317,72.5
318,75.0
319,76.48333333333333
320,62.5
321,78.33333333333333
322,90.0
323,83.14999999999999
324,59.166666666666664
325,67.5
326,84.81666666666666
327,76.31666666666666
328,78.33333333333333
329,67.31666666666666
330,74.16666666666667
331,68.14999999999999
332,85.83333333333333
333,84.16666666666667
334,35.65
335,59.166666666666664
336,78.33333333333333
337,74.81666666666666
338,35.833333333333336
339,59.81666666666666
340,40.833333333333336
341,85.83333333333333
342,100.83333333333333
343,63.15
344,80.48333333333333
345,78.33333333333333
346,83.98333333333333
347,54.166666666666664
348,74.81666666666666
349,69.81666666666666
350,70.83333333333333
351,73.98333333333333
352,75.64999999999999
353,85.83333333333333
354,57.31666666666666
355,82.5
356,81.66666666666667
357,77.5
358,73.98333333333333
359,75.83333333333333
360,71.48333333333333
361,75.0
362,71.48333333333333
363,78.14999999999999
364,55.833333333333336
365,76.48333333333333
366,74.16666666666667
367,82.5
368,74.16666666666667
369,71.3
370,78.33333333333333
371,73.98333333333333
372,68.33333333333333
373,85.0
374,70.83333333333333
375,81.48333333333333
376,72.5
377,88.25
378,73.33333333333333
379,58.333333333333336
380,99.46666666666665
381,88.33333333333333
382,79.81666666666666
383,79.81666666666666
384,76.66666666666667
385,65.83333333333333
386,76.95
387,67.5
388,78.33333333333333
389,67.5
390,55.65
391,77.31666666666666
392,69.16666666666667
393,92.98333333333333
394,59.166666666666664
395,79.81666666666666
396,70.0
397,56.666666666666664
398,67.5
399,73.14999999999999
400,85.64999999999999
401,68.33333333333333
402,78.98333333333333
403,55.833333333333336
404,66.48333333333333
405,77.13333333333334
406,62.31666666666666
407,67.5
408,68.14999999999999
409,70.83333333333333
410,79.16666666666667
411,67.31666666666666
412,87.98333333333333
413,78.33333333333333
414,47.31666666666666
415,86.5
416,78.33333333333333
417,34.166666666666664
418,53.98333333333333
419,75.83333333333333
420,65.0
421,77.5
422,74.16666666666667
423,72.5
424,72.5
425,67.33333333333333
426,88.98333333333333
427,55.65
428,76.48333333333333
429,74.16666666666667
430,55.833333333333336
431,63.333333333333336
432,72.5
433,78.98333333333333
434,90.66666666666667
435,75.46666666666667
436,75.0
437,60.0
438,71.66666666666667
439,79.0
440,83.14999999999999
441,84.16666666666667
442,82.31666666666666
443,77.31666666666666
444,70.0
445,78.14999999999999
446,73.33333333333333
447,67.31666666666666
448,78.33333333333333
449,73.8
450,78.14999999999999
451,82.5
452,65.83333333333333
453,87.5
454,72.5
455,70.0
456,80.83333333333333
457,68.33333333333333
458,69.45
459,71.48333333333333
460,78.98333333333333
461,72.5
462,48.333333333333336
463,74.81666666666666
464,69.81666666666666
465,70.83333333333333
466,79.0
467,73.98333333333333
468,40.0
469,76.48333333333333
470,63.333333333333336
471,83.14999999999999
472,68.33333333333333
473,55.65
474,61.666666666666664
475,89.63333333333333
476,75.0
477,73.98333333333333
478,62.5
479,53.98333333333333
480,73.14999999999999
481,57.5
482,71.13333333333334
483,70.83333333333333
484,76.3
485,61.31666666666666
486,83.14999999999999
487,85.64999999999999
488,58.333333333333336
489,65.64999999999999
490,75.64999999999999
491,90.64999999999999
492,68.98333333333333
493,77.31666666666666
494,75.0
495,43.333333333333336
496,49.81666666666666
497,85.83333333333333
498,75.0
499,60.0
500,73.14999999999999
501,74.16666666666667
502,88.33333333333333
503,44.166666666666664
504,67.5
505,86.48333333333333
506,83.98333333333333
507,73.33333333333333
508,60.0
509,79.16666666666667
510,75.46666666666667
511,62.5
512,56.666666666666664
513,63.333333333333336
514,70.46666666666667
515,82.31666666666666
516,75.83333333333333
517,85.83333333333333
518,67.5
519,88.33333333333333
520,53.98333333333333
521,72.5
522,60.0
523,78.33333333333333
524,41.666666666666664
525,74.81666666666666
526,90.64999999999999
527,79.81666666666666
528,74.16666666666667
529,76.48333333333333
530,70.83333333333333
531,77.5
532,71.3
533,56.666666666666664
534,54.166666666666664
535,73.98333333333333
536,66.66666666666667
537,85.83333333333333
538,80.83333333333333
539,72.5
540,81.48333333333333
541,85.64999999999999
542,77.33333333333333
543,67.96666666666667
544,86.66666666666667
545,92.31666666666666
546,74.16666666666667
547,85.64999999999999
548,72.5
549,83.8
550,70.64999999999999
551,70.0
552,78.33333333333333
553,67.5
554,72.5
555,61.300000000000004
556,89.66666666666667
557,78.33333333333333
558,63.333333333333336
559,74.16666666666667
560,86.66666666666667
561,75.0
562,52.31666666666666
563,73.98333333333333
564,87.41666666666667
565,71.48333333333333
566,78.33333333333333
567,69.81666666666666
568,60.0
569,75.64999999999999
570,76.48333333333333
571,79.81666666666666
572,55.0
573,80.83333333333333
574,72.63333333333334
575,54.166666666666664
576,72.5
577,69.81666666666666
578,65.64999999999999
579,73.33333333333333
580,40.833333333333336
581,68.98333333333333
582,70.83333333333333
583,85.83333333333333
584,66.66666666666667
585,85.83333333333333
586,67.31666666666666
587,71.48333333333333
588,81.48333333333333
589,67.31666666666666
590,85.64999999999999
591,74.63333333333334
592,75.0
593,59.166666666666664
594,75.0
595,58.15
596,81.95
597,78.33333333333333
598,80.64999999999999
599,57.5
600,67.31666666666666
601,72.5
602,61.666666666666664
603,89.16666666666667
604,75.83333333333333
605,85.83333333333333
606,91.48333333333333
607,78.14999999999999
608,57.96666666666667
609,68.33333333333333
610,76.48333333333333
611,70.83333333333333
612,79.63333333333334
613,61.48333333333333
614,75.0
615,95.83333333333333
616,81.66666666666667
617,59.166666666666664
618,75.83333333333333
619,73.33333333333333
620,80.83333333333333
621,72.5
622,79.63333333333334
623,63.333333333333336
624,101.5
625,85.83333333333333
626,74.81666666666666
627,40.0
628,55.833333333333336
629,88.14999999999999
630,70.64999999999999
631,56.666666666666664
632,71.48333333333333
633,66.66666666666667
634,60.65
635,84.81666666666666
636,58.98333333333333
637,72.5
638,89.16666666666667
