,p1_offense_speed_product,p2_offense_speed_product,offense_speed_product_diff
0,4987.5,15250.07777777778,-10262.57777777778
1,5700.0,22565.625,-16865.625
2,1533.3333333333335,21609.07777777778,-20075.744444444448
3,4333.333333333334,32156.35555555555,-27823.022222222215
4,12395.833333333332,16287.762499999997,-3891.929166666665
5,33203.125,20795.693055555555,12407.431944444445
6,9106.25,18583.333333333336,-9477.083333333336
7,13200.0,23836.911111111112,-10636.911111111112
8,250.00000000000003,19068.75,-18818.75
9,12835.416666666668,37312.5,-24477.083333333332
10,41.66666666666667,27447.916666666664,-27406.249999999996
11,766.6666666666667,22262.818055555555,-21496.151388888888
12,4593.75,24218.75,-19625.0
13,12929.166666666668,18208.081944444446,-5278.915277777778
14,2904.1666666666665,15708.119444444446,-12803.95277777778
15,10183.333333333332,23646.327777777777,-13462.994444444445
16,14678.125000000002,22583.206944444446,-7905.081944444444
17,1866.6666666666665,16123.234722222222,-14256.568055555555
18,4987.5,17179.166666666668,-12191.666666666668
19,4725.0,41208.33333333333,-36483.33333333333
20,5896.875,17093.825,-11196.95
21,8100.0,14535.206944444442,-6435.206944444442
22,41.66666666666667,20135.797222222223,-20094.130555555555
23,3333.3333333333335,24944.71388888889,-21611.38055555556
24,1833.3333333333335,28247.916666666664,-26414.583333333332
25,2281.25,19841.99861111111,-17560.74861111111
26,5525.0,24614.583333333332,-19089.583333333332
27,6000.0,24704.938888888883,-18704.938888888883
28,4987.5,28885.416666666664,-23897.916666666664
29,6650.0,25031.25,-18381.25
30,1533.3333333333335,32560.44305555556,-31027.109722222227
31,9587.5,24758.081944444446,-15170.581944444446
32,1833.3333333333335,8193.75,-6360.416666666666
33,47554.16666666667,21612.5,25941.66666666667
34,5750.0,36750.0,-31000.0
35,41.66666666666667,27015.625,-26973.958333333332
36,4702.083333333333,26930.208333333332,-22228.125
37,11875.0,23233.470833333333,-11358.470833333333
38,29183.333333333332,26250.0,2933.333333333332
39,2416.666666666667,28739.583333333336,-26322.916666666668
40,8250.0,30354.166666666664,-22104.166666666664
41,7154.166666666666,37730.0,-30575.833333333336
42,7778.125,10262.095833333333,-2483.970833333333
43,11343.75,11091.666666666666,252.08333333333394
