,p1_sum_def_last
0,295.0
1,210.0
2,345.0
3,245.0
4,410.0
5,420.0
6,240.0
7,290.0
8,175.0
9,250.0
10,90.0
11,175.0
12,325.0
13,250.0
14,330.0
15,430.0
16,475.0
17,245.0
18,455.0
19,155.0
20,365.0
21,325.0
22,185.0
23,285.0
24,95.0
25,330.0
26,260.0
27,410.0
28,200.0
29,180.0
30,155.0
31,330.0
32,100.0
33,465.0
34,140.0
35,285.0
36,455.0
37,265.0
38,455.0
39,330.0
40,270.0
41,290.0
42,335.0
43,315.0
44,390.0
45,370.0
46,125.0
47,315.0
48,495.0
49,165.0
50,305.0
51,330.0
52,245.0
53,275.0
54,295.0
55,320.0
56,460.0
57,380.0
58,115.0
59,260.0
60,455.0
61,375.0
62,310.0
63,165.0
64,395.0
65,250.0
66,430.0
67,430.0
68,335.0
69,350.0
70,278.0
71,230.0
72,230.0
73,250.0
74,420.0
75,315.0
76,195.0
77,380.0
78,215.0
79,325.0
80,310.0
81,470.0
82,295.0
83,310.0
84,510.0
85,220.0
86,145.0
87,330.0
88,125.0
89,290.0
90,165.0
91,315.0
92,450.0
93,95.0
94,360.0
95,415.0
96,130.0
97,285.0
98,195.0
99,390.0
100,285.0
101,225.0
102,315.0
103,155.0
104,335.0
105,380.0
106,145.0
107,205.0
108,530.0
109,635.0
110,415.0
111,315.0
112,160.0
113,395.0
114,475.0
115,220.0
116,395.0
117,310.0
118,475.0
119,150.0
120,220.0
121,130.0
122,405.0
123,220.0
124,425.0
125,395.0
126,410.0
127,305.0
128,260.0
129,320.0
130,300.0
131,155.0
132,145.0
133,165.0
134,450.0
135,510.0
136,435.0
137,190.0
138,265.0
139,405.0
140,290.0
141,285.0
142,250.0
143,310.0
144,220.0
145,250.0
146,350.0
147,140.0
148,455.0
149,385.0
150,425.0
151,450.0
152,375.0
153,285.0
154,320.0
155,280.0
156,470.0
157,210.0
158,295.0
159,330.0
160,220.0
161,500.0
162,370.0
163,135.0
164,185.0
165,245.0
166,330.0
167,295.0
168,305.0
169,320.0
170,85.0
171,390.0
172,495.0
173,190.0
174,350.0
175,305.0
176,285.0
177,390.0
178,285.0
179,190.0
180,370.0
181,295.0
182,320.0
183,465.0
184,455.0
185,460.0
186,280.0
187,180.0
188,60.0
189,430.0
190,335.0
191,175.0
192,350.0
193,165.0
194,355.0
195,160.0
196,320.0
197,470.0
198,545.0
199,320.0
200,50.0
201,200.0
202,305.0
203,305.0
204,320.0
205,160.0
206,430.0
207,340.0
208,310.0
209,345.0
210,490.0
211,285.0
212,330.0
213,230.0
214,265.0
215,370.0
216,525.0
217,215.0
218,310.0
219,265.0
220,180.0
221,390.0
222,215.0
223,220.0
224,390.0
225,220.0
226,455.0
227,160.0
228,240.0
229,465.0
230,255.0
231,275.0
232,420.0
233,185.0
234,200.0
235,245.0
236,395.0
237,310.0
238,370.0
239,365.0
240,250.0
241,245.0
242,310.0
243,245.0
244,340.0
245,375.0
246,340.0
247,335.0
248,360.0
249,175.0
250,380.0
251,315.0
252,345.0
253,485.0
254,375.0
255,290.0
256,330.0
257,655.0
258,250.0
259,275.0
260,410.0
261,280.0
262,240.0
263,435.0
264,395.0
265,285.0
266,250.0
267,350.0
268,315.0
269,95.0
270,125.0
271,100.0
272,400.0
273,465.0
274,450.0
275,335.0
276,245.0
277,370.0
278,395.0
279,280.0
280,105.0
281,230.0
282,345.0
283,330.0
284,190.0
285,480.0
286,240.0
287,460.0
288,325.0
289,370.0
290,510.0
291,475.0
292,310.0
293,285.0
294,160.0
295,185.0
296,310.0
297,420.0
298,475.0
299,370.0
300,250.0
301,395.0
302,160.0
303,395.0
304,230.0
305,545.0
306,315.0
307,335.0
308,515.0
309,400.0
310,315.0
311,295.0
312,325.0
313,420.0
314,140.0
315,280.0
316,165.0
317,230.0
318,365.0
319,320.0
320,310.0
321,295.0
322,385.0
323,475.0
324,290.0
325,120.0
326,240.0
327,330.0
328,400.0
329,195.0
330,385.0
