,p1_final_team_hp
0,322.90937996820355
1,296.1
2,248.2
3,96.4
4,344.59999999999997
5,432.9
6,127.65
7,171.7
8,36.300000000000004
9,326.64143922533003
10,95.0
11,206.9
12,173.4
13,545.0
14,68.75
15,305.25846389391995
16,525.0
17,242.3
18,260.2
19,321.55
20,261.05
21,312.95
22,187.76671408250357
23,151.4
24,75.0
25,249.1
26,446.2914978661644
27,350.5
28,294.9
29,81.3
30,222.5
31,274.859238473849
32,33.75
33,339.0
34,130.0
35,250.0
36,303.34999999999997
37,472.2226921497325
38,551.4
39,421.4
40,334.78495523387164
41,277.0
42,386.1
43,332.32284151987074
44,540.0
45,349.5
46,169.65
47,364.39544807965865
48,363.95
49,215.3
50,280.0
51,298.9
52,181.50100135357255
53,255.05
54,525.0
55,421.35
56,398.68594259910475
57,337.55
58,250.0
59,310.0
60,205.0
61,217.46009435187693
62,446.2
63,265.9
64,620.7943057561379
65,486.6284987277354
66,239.35
67,458.7
68,322.5
69,147.5
70,94.5
71,220.0
72,258.4
73,347.8482972136223
74,375.85
75,119.04664269341578
76,290.0
77,294.15000000000003
78,134.55
79,176.59033078880407
80,530.0
81,285.17538921138487
82,168.5
83,491.9935543136634
84,40.69011693501618
85,128.3
86,80.22900763358778
87,453.34814376541135
88,362.73993808049534
89,215.0
90,410.0
91,151.4
92,388.2901012467576
93,75.0
94,108.14999999999999
95,375.75079872204475
96,50.247933884297524
97,455.8626198083067
98,212.78202676864245
99,105.78508609466239
100,251.95
101,99.9
102,415.75
103,140.0
104,492.65
105,302.0
106,280.0
107,19.83050847457627
108,521.85
109,342.8
110,286.9
111,465.0
112,363.4
113,587.6873977322693
114,391.4
115,130.7
116,448.5
117,228.95
118,359.5
119,411.7
120,382.4889697904863
121,131.8
122,539.15
123,394.5
124,279.59999999999997
125,110.06129632791097
126,254.5
127,212.97368712940784
128,174.5
129,178.35
130,305.73618159596464
131,99.5
132,260.0
133,75.0
134,357.4
135,107.56209216100649
136,450.0312069262392
137,65.0
138,422.3957686414479
139,242.04999999999998
140,285.75
141,383.9
142,115.35
143,418.7
144,145.00727356251437
145,273.0
146,215.7
147,26.95
148,308.09999999999997
149,255.91884775076886
150,382.75
151,139.67844094942276
152,271.8567916698234
153,256.95
154,262.35
155,356.6
156,372.27311549046277
157,178.64999999999998
158,327.9
159,138.48202027866944
160,331.0
161,259.4
162,456.25
163,200.0
164,362.86847561729564
165,391.6
166,409.7
167,231.38691322901852
168,192.2
169,200.8048837446908
170,17.099999999999998
171,303.8
172,286.5
173,120.0
174,300.2
175,420.05
176,321.9585024117602
177,191.1
178,342.5
179,458.2208250964125
180,342.3996419171058
181,402.6
182,422.97297297297297
183,163.65
184,459.15
185,183.2555149248447
186,462.25000000000006
187,354.0
188,65.0
189,567.0
190,303.7939550424119
191,282.75
192,145.0
193,250.0
194,216.43685102833405
195,325.0
196,452.2
197,212.55
198,91.0
199,185.9
200,297.26837060702877
201,253.8676844783715
202,332.6
203,166.61757815597315
204,149.25
205,8.25
206,115.55
207,187.9
208,283.35
209,64.35114503816794
210,482.2185763980009
211,542.5
212,315.0
213,104.35
214,95.85
215,317.9
216,179.2
217,40.5
218,456.28568780499603
219,110.75
220,386.1
221,410.6234096692112
222,95.0
223,180.2
224,155.7759004484597
225,161.3383243091011
226,80.15
227,135.5736137667304
228,77.20963172804532
229,221.89999999999998
230,298.9615931721195
231,396.8
232,520.329481936518
233,353.75
234,437.5
235,349.44114464001973
236,281.4
237,370.0
238,314.09654911794865
239,377.3
240,134.8
241,285.95
242,124.60000000000001
243,318.55
244,211.87404797016833
245,241.74844846141127
246,464.37622725312286
247,232.26
248,89.10000000000001
249,97.25
250,421.67070244209657
251,313.85
252,355.6
253,217.4
254,197.61995164128604
255,73.35
256,156.4
257,359.55
258,114.0
259,230.0
260,316.59999999999997
261,390.0
262,271.05
263,190.57507987220447
264,273.55
265,300.6790031819766
266,57.949999999999996
267,188.95
268,308.90000000000003
269,75.0
270,177.95
271,325.0
272,370.0
273,208.77525469279993
274,348.5
275,482.97323135755255
276,211.3
277,346.8
278,135.42776330737217
279,183.2
280,55.0
281,143.85
282,513.0270827520596
283,220.0
284,426.4
285,382.11339143102396
286,120.0
287,169.6
288,237.00378396972823
289,488.8743619336353
290,259.8
291,285.0
292,67.35
293,151.85
294,116.0
295,346.0
296,496.59999999999997
297,130.54946287829915
298,323.5
299,563.4
300,457.5
301,470.0
302,235.0
303,410.44999999999993
