,p1_switches_count
0,6
1,10
2,5
3,7
4,5
5,12
6,9
7,6
8,7
9,9
10,6
11,11
12,10
13,6
14,14
15,13
16,5
17,10
18,6
19,12
20,11
21,5
22,9
23,6
24,12
25,3
26,10
27,3
28,6
29,11
30,7
31,13
32,6
33,12
34,6
35,3
36,4
37,6
38,10
39,6
40,15
41,16
42,8
43,8
44,7
45,7
46,14
47,5
48,4
49,6
50,10
51,11
52,4
53,12
54,4
55,10
56,10
57,13
58,7
59,5
60,5
61,8
62,8
63,12
64,12
65,10
66,11
67,8
68,4
69,3
70,6
71,12
72,7
73,6
74,7
75,8
76,6
77,12
78,12
79,4
80,6
81,8
82,6
83,8
84,6
85,4
86,10
87,11
88,5
89,7
90,5
91,5
92,5
93,9
94,10
95,7
96,10
97,6
98,9
99,11
100,6
101,12
102,12
103,8
104,5
105,13
106,6
107,9
108,12
109,7
110,9
111,10
112,7
113,6
114,8
115,7
116,6
117,8
118,9
119,7
120,12
121,7
122,6
123,6
124,5
125,10
126,6
127,7
128,10
129,10
130,7
131,7
132,6
133,4
134,13
135,6
136,7
137,5
138,8
139,6
140,5
141,10
142,5
143,9
144,6
145,8
146,10
147,8
148,10
149,8
150,9
151,8
152,6
153,5
154,6
155,10
156,8
157,7
158,9
159,7
160,11
161,13
162,8
163,8
164,8
165,10
166,7
167,2
168,10
169,7
170,9
171,10
172,12
173,7
174,7
175,12
176,9
177,6
178,7
179,8
180,16
181,6
182,10
183,5
184,7
185,7
186,6
187,7
188,9
189,12
190,11
191,10
192,5
193,3
194,9
195,5
196,9
197,5
198,0
199,9
200,10
201,5
202,4
203,8
204,9
205,6
206,6
207,7
208,6
209,8
210,11
211,7
212,6
213,8
214,9
215,10
216,9
217,5
218,4
219,8
220,7
221,8
222,9
223,8
224,10
225,5
226,3
227,8
228,5
229,6
230,7
231,7
232,7
233,7
234,7
235,7
236,6
237,4
238,5
239,12
240,10
241,12
242,2
243,7
244,8
245,14
246,11
247,6
248,9
249,13
250,9
251,5
252,1
253,5
254,6
255,9
256,5
257,11
258,3
259,7
260,8
261,4
262,10
263,3
264,7
265,5
266,3
267,9
268,12
269,8
270,8
271,12
272,6
273,5
274,11
275,3
276,6
277,2
278,8
279,9
280,4
281,7
282,9
283,7
284,11
285,12
286,6
287,11
288,8
289,7
290,9
291,11
292,10
293,7
294,7
295,7
296,13
297,9
298,2
299,14
300,8
301,7
302,10
303,6
304,5
305,4
306,13
307,9
308,6
309,8
310,9
311,7
312,7
313,9
314,7
315,9
316,8
317,6
318,9
319,6
320,14
321,8
322,9
323,10
324,8
325,7
326,5
327,6
328,12
329,11
330,9
331,12
332,3
333,8
334,7
335,8
336,7
337,9
338,10
339,10
340,5
341,5
342,4
343,10
344,10
345,9
346,7
347,5
348,11
349,8
350,9
351,12
352,9
353,11
354,9
355,9
356,11
357,7
358,9
359,11
360,5
361,11
362,9
363,5
364,9
365,5
366,7
367,3
368,10
369,9
370,9
371,8
372,4
373,8
374,3
375,6
376,7
377,2
378,9
379,10
380,12
381,11
382,2
383,10
384,5
385,9
386,3
387,9
388,7
389,7
390,9
391,9
392,6
393,8
394,3
395,13
396,10
397,9
398,9
399,8
400,11
401,5
402,6
403,7
404,7
405,9
406,9
407,4
408,8
409,7
410,8
411,9
412,5
413,7
414,6
415,7
416,8
417,8
418,6
419,9
420,9
421,5
422,9
423,8
424,10
425,8
426,3
427,5
428,5
429,9
430,10
431,8
432,8
433,5
434,8
435,5
436,13
437,11
438,6
439,7
440,12
441,7
442,5
443,10
444,5
445,8
446,8
447,10
448,8
449,14
450,7
451,6
452,11
453,4
454,8
455,6
456,9
457,6
458,3
459,8
460,7
461,11
462,4
463,6
464,8
465,9
466,8
467,8
468,12
469,11
470,8
471,8
472,8
473,7
474,11
475,7
476,5
477,9
478,9
479,5
480,5
481,5
482,4
483,9
484,10
485,5
486,8
487,8
488,10
489,10
490,9
491,8
492,10
493,12
494,9
495,9
496,5
497,8
498,11
499,5
500,8
501,11
502,13
503,5
504,9
505,5
506,10
507,10
508,9
509,10
510,6
511,13
512,9
513,8
514,2
515,10
516,7
517,10
518,12
519,8
520,11
521,6
522,11
523,6
524,7
525,11
526,6
527,7
528,5
529,13
530,13
531,6
532,6
533,4
534,5
535,6
536,6
537,13
538,12
539,11
540,11
541,4
542,7
543,6
544,9
545,3
546,9
547,8
548,3
549,6
550,7
551,9
552,9
553,6
554,8
555,5
556,5
557,11
558,9
559,11
560,12
561,7
562,4
563,12
564,29
565,10
566,6
567,10
568,8
569,6
570,6
571,6
572,5
573,10
574,7
575,8
576,2
577,9
578,8
579,8
580,8
581,10
582,7
583,5
584,14
585,7
586,6
587,5
588,5
589,7
590,4
591,8
592,8
593,10
594,5
595,9
596,2
597,8
598,11
599,9
600,7
601,10
602,7
603,7
604,5
605,5
606,3
607,5
608,5
609,14
610,6
611,10
612,3
613,4
614,10
615,10
616,5
617,9
618,7
619,5
620,6
621,9
622,7
623,13
624,6
625,10
626,11
627,8
628,5
629,11
630,5
631,8
632,8
633,10
634,8
635,11
636,9
637,8
638,5
639,9
640,6
641,6
642,7
643,10
644,10
645,9
646,8
647,4
648,6
649,7
650,6
651,7
652,6
653,10
654,7
655,12
656,7
657,4
658,11
659,6
660,3
661,11
662,9
663,12
664,7
665,9
666,7
667,8
668,6
669,7
670,7
671,7
672,8
673,8
674,10
675,7
676,10
677,9
678,6
679,4
680,10
681,6
682,11
683,7
684,8
685,9
686,10
687,6
688,9
689,8
690,9
691,12
692,8
693,6
694,6
695,11
696,8
697,5
698,6
699,6
700,4
701,13
702,14
703,13
704,7
705,10
706,9
707,6
708,10
709,10
710,11
711,2
712,7
713,9
714,10
715,5
716,9
717,6
718,5
719,13
720,7
721,11
722,5
723,3
724,8
725,9
726,5
727,8
728,7
729,8
730,6
731,6
732,6
733,9
734,8
735,11
736,6
737,6
738,4
739,9
740,5
741,7
742,10
743,7
744,8
745,9
746,3
747,9
748,9
749,8
750,18
751,6
752,6
753,11
754,5
755,6
756,7
757,10
758,8
759,14
760,8
761,8
762,5
763,7
764,12
765,12
766,7
767,8
768,8
769,3
770,7
771,12
772,12
773,12
774,4
775,10
776,3
777,6
778,8
779,7
780,6
781,6
782,5
783,13
784,9
785,7
786,7
787,10
788,6
789,5
790,7
791,8
792,7
793,8
794,9
795,8
796,7
797,6
798,4
799,8
800,11
801,2
802,9
803,6
804,11
805,14
806,7
807,4
808,4
809,7
810,7
811,5
812,10
813,14
814,1
815,8
816,8
817,12
818,13
819,8
820,8
821,16
822,7
823,6
824,2
825,7
826,9
827,8
828,11
829,10
830,8
831,8
832,5
833,8
834,2
835,7
836,10
837,5
838,9
839,10
840,8
841,9
842,8
843,8
844,9
845,5
846,10
847,10
848,8
849,2
850,3
851,9
852,15
853,8
854,5
855,12
856,7
857,4
858,7
859,8
860,7
861,8
862,6
863,12
864,3
865,11
866,5
867,7
868,6
869,9
870,7
871,11
872,8
873,10
874,8
875,9
876,8
877,5
878,9
879,7
880,4
881,14
882,10
883,4
884,16
885,7
886,9
887,2
888,6
889,11
890,9
891,9
892,8
893,9
894,9
895,9
896,10
897,5
898,11
899,3
900,10
901,9
902,8
903,8
904,9
905,10
906,9
907,6
908,8
909,4
910,4
911,9
912,7
913,10
914,3
915,13
916,9
917,8
918,9
919,12
920,6
921,10
922,7
923,5
924,5
925,14
926,8
927,4
928,7
929,8
930,7
931,4
932,10
933,5
934,12
935,8
936,11
937,10
938,4
939,9
940,5
941,5
942,11
943,7
944,8
945,5
946,5
947,12
948,6
949,10
950,10
951,2
952,9
953,7
954,8
955,9
956,3
957,6
958,7
959,8
960,6
961,9
962,7
963,7
964,9
965,9
966,7
967,11
968,11
969,7
970,9
971,5
972,3
973,6
974,2
975,8
976,11
977,11
978,4
979,8
980,4
981,5
982,9
983,10
984,7
985,8
986,6
987,14
988,11
989,8
990,9
991,10
992,5
993,6
994,8
995,11
996,7
997,14
998,11
999,10
1000,11
1001,15
1002,6
1003,5
1004,8
1005,10
1006,9
1007,10
1008,7
1009,8
1010,9
1011,11
1012,11
1013,9
1014,10
1015,11
1016,8
1017,10
1018,6
1019,7
1020,12
1021,8
1022,7
1023,12
1024,4
1025,13
1026,7
1027,7
1028,7
1029,6
1030,10
1031,11
1032,4
1033,11
1034,6
1035,10
1036,4
1037,4
1038,6
1039,10
1040,7
1041,7
1042,7
1043,11
1044,3
1045,9
1046,7
1047,11
1048,6
1049,10
1050,13
1051,8
1052,9
1053,10
1054,6
