,p2_avg_move_power
0,91.66666666666667
1,73.0
2,99.58333333333333
3,112.25
4,94.23076923076923
5,88.65
6,90.0
7,57.68181818181818
8,88.0
9,91.66666666666667
10,110.0
11,93.54166666666667
12,109.64285714285714
13,102.91666666666667
14,85.125
15,53.47826086956522
16,89.44444444444444
17,88.75
18,95.16666666666667
19,95.0
20,38.15384615384615
21,65.0
22,89.73684210526316
23,114.76470588235294
24,82.4
25,97.14285714285714
26,107.5
27,81.0
28,104.0909090909091
29,106.94444444444444
30,90.0
31,94.58333333333333
32,133.5
33,122.0
34,79.6842105263158
35,84.44444444444444
36,95.0
37,82.625
38,100.71428571428571
39,91.66666666666667
40,86.5
41,52.38095238095238
42,101.47058823529412
43,89.44444444444444
44,94.0
45,67.6470588235294
46,90.52631578947368
47,68.91666666666667
48,93.75
49,80.35714285714286
50,100.0
51,79.44444444444444
52,102.91666666666667
53,107.27272727272727
54,89.44444444444444
55,96.23076923076923
56,88.81818181818181
57,78.28571428571429
58,98.23529411764706
59,87.33333333333333
60,95.0
61,88.88888888888889
62,89.16666666666667
63,114.0
64,91.0
65,89.17647058823529
66,92.0
67,84.0909090909091
68,67.73684210526316
69,88.84615384615384
70,88.94117647058823
71,53.2
72,83.375
73,39.1
74,80.8
75,77.6086956521739
76,99.76190476190476
77,91.78260869565217
78,115.55555555555556
79,101.15384615384616
80,86.25
81,89.16666666666667
82,64.92307692307692
83,111.38888888888889
84,80.0
85,80.0
86,95.0
87,89.375
88,99.0
89,73.70588235294117
90,100.71428571428571
91,52.4
92,94.5
93,98.82352941176471
94,81.36363636363636
95,99.44444444444444
96,95.47619047619048
97,45.5
98,79.8
99,69.625
100,88.75
101,96.5625
102,89.0909090909091
103,90.71428571428571
104,102.66666666666667
105,91.42857142857143
106,92.14285714285714
107,117.6923076923077
108,94.58333333333333
109,90.625
110,81.29411764705883
111,63.4375
112,116.66666666666667
113,74.7
114,74.72727272727273
115,106.66666666666667
116,81.3125
117,97.91666666666667
118,84.3076923076923
119,90.0
120,78.66666666666667
121,95.38888888888889
122,80.0
123,47.07692307692308
124,89.64285714285714
125,107.91666666666667
126,38.36363636363637
127,90.5
128,101.15384615384616
129,88.33333333333333
130,106.66666666666667
131,108.0
132,70.07142857142857
133,109.72222222222223
134,101.25
135,100.0625
136,96.81818181818181
137,76.38461538461539
138,100.26315789473684
139,100.78947368421052
140,61.3
141,109.0
142,58.77272727272727
143,75.0
144,38.333333333333336
145,95.0
146,78.0
147,86.5
148,51.23076923076923
149,67.13636363636364
150,95.0
151,64.10526315789474
152,90.26315789473684
153,94.0909090909091
154,105.0
155,133.57142857142858
156,42.36363636363637
157,96.84210526315789
158,96.13333333333334
159,108.61111111111111
160,92.66666666666667
161,93.5
162,80.70588235294117
163,109.28571428571429
164,108.66666666666667
165,45.5
166,91.66666666666667
167,93.84615384615384
168,74.2
169,96.25
170,67.4375
171,101.25
172,88.4375
173,92.5
174,105.9375
175,92.3529411764706
176,83.29411764705883
177,95.21739130434783
178,72.38095238095238
179,101.1
180,56.529411764705884
181,101.36363636363636
182,101.23076923076923
183,90.71428571428571
184,89.64285714285714
185,103.07692307692308
186,97.33333333333333
187,44.0
188,92.55
189,36.30769230769231
190,93.46153846153847
191,102.91666666666667
192,75.6
193,102.89473684210526
194,98.21428571428571
195,99.61538461538461
196,90.71428571428571
197,95.52631578947368
198,0.0
199,97.6470588235294
200,96.05263157894737
201,98.0
202,94.5
203,56.95652173913044
204,93.95833333333333
205,91.5
206,91.66666666666667
207,93.18181818181819
208,20.869565217391305
209,93.5
210,101.11111111111111
211,93.46153846153847
212,73.46153846153847
213,100.0
214,106.76470588235294
215,90.26315789473684
216,69.52380952380952
217,98.88888888888889
218,99.75
219,101.66666666666667
220,101.36363636363636
221,97.77777777777777
222,41.5
223,86.15789473684211
224,46.583333333333336
225,101.76470588235294
226,86.94444444444444
227,98.23529411764706
228,98.33333333333333
229,89.04545454545455
230,93.6
231,87.15789473684211
232,44.94444444444444
233,77.3529411764706
234,95.9090909090909
235,90.0
236,95.0
237,98.46153846153847
238,88.5
239,89.52380952380952
240,98.125
241,90.0
242,26.03448275862069
243,70.33333333333333
244,75.5
245,95.9090909090909
246,91.36363636363636
247,79.46666666666667
248,93.57142857142857
249,104.3076923076923
250,87.0
251,107.08333333333333
252,86.94444444444444
253,97.5
254,102.85714285714286
255,101.36363636363636
256,107.5
257,103.57142857142857
258,66.14285714285714
259,120.0
260,79.33333333333333
261,85.07692307692308
262,93.57142857142857
263,98.80952380952381
264,91.92307692307692
265,91.33333333333333
266,105.0
267,94.64285714285714
268,106.66666666666667
269,62.0
270,97.0
271,95.28571428571429
272,90.0
273,111.92307692307692
274,55.44444444444444
275,89.44444444444444
276,120.5
277,106.92307692307692
278,102.22222222222223
279,90.0
280,84.3157894736842
281,112.5
282,90.76923076923077
283,104.41176470588235
284,115.41666666666667
285,52.76470588235294
286,62.0
287,69.76190476190476
288,60.0
289,44.857142857142854
290,61.375
291,85.0
292,112.33333333333333
293,94.0909090909091
294,89.92307692307692
295,97.47058823529412
296,107.05882352941177
297,105.38461538461539
298,98.57142857142857
299,80.9090909090909
300,86.33333333333333
301,94.58333333333333
302,86.94444444444444
303,88.75
304,101.0
305,143.88888888888889
306,95.0
307,110.0
308,99.54545454545455
309,94.0
310,85.0
311,22.625
312,88.88888888888889
313,110.0
