,p1_defense_survivability,p2_defense_survivability,defense_survivability_diff
0,15876.377848436674,15000.099546551648,876.2783018850259
1,10363.5,17806.166666666664,-7442.666666666664
2,14271.5,21746.90666666667,-7475.4066666666695
3,3936.333333333334,23697.896666666667,-19761.56333333333
4,23547.666666666664,26038.879166666662,-2491.212499999998
5,30303.0,20447.35,9855.650000000001
6,5106.0,16564.625,-11458.625
7,8298.833333333334,28838.05,-20539.216666666667
8,1058.7500000000002,16821.0,-15762.25
9,13610.059967722083,23059.032358566485,-9448.972390844401
10,1425.0,8458.75,-7033.75
11,6034.583333333334,29969.83166666666,-23935.24833333333
12,9392.5,12720.250000000002,-3327.750000000002
13,22708.333333333332,18118.974166666667,4589.359166666665
14,3781.25,32062.603333333333,-28281.353333333333
15,21876.856579064264,34611.76548591104,-12734.908906846777
16,41562.5,15368.404999999997,26194.095
17,9893.916666666668,30284.67,-20390.75333333333
18,19731.833333333332,23294.375,-3562.541666666668
19,8306.708333333334,25640.333333333336,-17333.625
20,15880.541666666668,23647.21833333333,-7766.676666666663
21,16951.458333333332,20754.57,-3803.1116666666676
22,5789.473684210527,41627.54153940059,-35838.067855190064
23,7191.5,29432.749166666665,-22241.249166666665
24,1187.5,22862.5,-21675.0
25,13700.5,31934.700000000004,-18234.200000000004
26,19339.298240867123,25273.134592854633,-5933.836351987509
27,23950.833333333332,33058.21333333334,-9107.380000000008
28,9830.0,30499.875,-20669.875
29,2439.0,22376.25,-19937.25
30,5747.916666666666,28354.994166666667,-22607.0775
31,15117.258116061696,26804.87305967651,-11687.614943614813
32,562.5,1308.7083333333333,-746.2083333333333
33,26272.5,26307.666666666668,-35.16666666666788
34,3033.333333333333,20864.514417837458,-17831.181084504125
35,11875.0,26350.625000000004,-14475.625000000004
36,23004.041666666664,25487.583333333332,-2483.541666666668
37,20856.502236613185,12552.701269803183,8303.800966810002
38,41814.49999999999,22860.625,18953.874999999993
39,23177.0,16990.625,6186.375
40,15065.322985524224,43297.765945141524,-28232.4429596173
41,13388.333333333334,21550.166666666664,-8161.83333333333
42,21557.250000000004,33816.39749999999,-12259.147499999988
43,17446.949179793213,16802.916276222924,644.0329035702889
44,35100.0,20730.863730739045,14369.136269260955
45,21552.5,29802.749999999993,-8250.249999999993
46,3534.375,13480.875,-9946.5
47,19130.76102418208,38650.2452517782,-19519.48422759612
48,30025.875,27724.235,2301.6399999999994
49,5920.75,19922.0,-14001.25
50,14233.333333333334,17067.291666666664,-2833.9583333333303
51,16439.5,27706.806,-11267.306
52,7411.290888604212,14534.976350295894,-7123.685461691682
53,11689.791666666668,23507.959999999995,-11818.168333333328
54,25812.5,26767.833333333332,-955.3333333333321
55,22472.000000000004,22726.804166666665,-254.80416666666133
56,30565.922265931367,23938.85416222712,6627.068103704249
57,21378.166666666668,34777.166666666664,-13398.999999999996
58,4791.666666666667,12489.666666666668,-7698.000000000001
59,13433.333333333334,19482.2225,-6048.889166666666
60,15545.833333333332,35734.74833333332,-20188.91499999999
61,13591.255896992308,18555.879586223484,-4964.623689231175
62,23053.666666666664,29749.416666666664,-6695.75
63,7312.249999999999,23452.666666666664,-16140.416666666664
64,40868.95846227907,27309.195467673555,13559.762994605517
65,20276.187446988974,24408.511658753625,-4132.324211764651
66,17153.416666666668,27554.75,-10401.333333333332
67,32873.5,32245.179999999997,628.3200000000033
68,18006.25,19540.36833333333,-1534.1183333333283
69,8604.166666666668,21841.743333333336,-13237.576666666668
70,4378.5,27560.889166666664,-23182.389166666664
71,8433.333333333334,30359.398166666662,-21926.06483333333
72,9905.333333333334,19405.708333333332,-9500.374999999998
73,14493.679050567594,32261.630404987034,-17767.95135441944
74,26309.5,31914.0,-5604.5
75,6249.948741404328,24781.504513201864,-18531.555771797535
76,9425.0,37163.5,-27738.5
77,18629.500000000004,39137.916666666664,-20508.41666666666
