,p2_sum_stats_last
0,2665.5
1,3190.0
2,3190.5
3,3205.5
4,3177.75
5,3207.75
6,2120.0
7,3045.5
8,2555.0
9,3215.0
10,2815.0
11,3207.75
12,2615.0
13,2677.75
14,3320.5
15,3210.5
16,3172.75
17,3262.75
18,3065.0
19,3130.0
20,2687.75
21,3192.75
22,3227.75
23,3182.75
24,3115.0
25,3132.75
26,3195.0
27,3090.5
28,2990.0
29,2685.0
30,3267.75
31,3297.75
32,1550.0
33,3060.0
34,3190.0
35,3220.0
36,3135.0
37,3217.75
38,3205.0
39,3200.0
40,3235.0
41,3240.0
42,3142.75
43,2575.0
44,3212.75
45,3265.0
46,2610.0
47,3105.0
48,3185.5
49,3265.0
50,3205.0
51,3290.5
52,2675.0
53,3102.75
54,3205.0
55,3152.75
56,2975.0
57,3135.0
58,2500.0
59,2677.75
60,3132.75
61,2652.75
62,3135.0
63,3290.0
64,3152.75
65,3190.0
66,3155.0
67,3097.75
68,2697.75
69,3125.5
70,3242.75
71,3242.75
72,3170.0
73,2595.5
74,3115.0
75,3217.75
76,3145.0
77,3205.0
78,3295.0
79,3270.0
80,3110.0
81,3122.75
82,2702.75
83,3162.75
84,3190.5
85,3277.75
86,3250.0
87,3120.5
88,2030.0
89,3142.75
90,3077.75
91,3140.0
92,3347.75
93,3200.0
94,2680.0
95,3077.75
96,2550.0
97,3182.75
98,3270.0
99,2690.5
100,2610.0
101,3135.0
102,3052.75
103,2645.0
104,3197.75
105,2655.0
106,3197.75
107,2610.0
108,3077.75
109,3292.75
110,3190.0
111,3270.0
112,3142.75
113,3135.0
114,3197.75
115,3152.75
116,3052.75
117,2557.75
118,3092.75
119,3135.0
120,3165.0
121,3235.0
122,3182.75
123,3140.0
124,3177.75
125,2642.75
126,2647.75
127,3112.75
128,2775.0
129,3147.75
130,3035.0
131,2590.0
132,3182.75
133,2120.5
134,3260.0
135,2662.75
136,2975.0
137,3127.75
138,3085.0
139,3135.5
140,3132.75
141,3265.0
142,3162.75
143,3215.0
144,3200.0
145,2752.75
146,3270.0
147,2225.0
148,3207.75
149,3190.0
150,2970.0
151,3025.0
152,2570.0
153,3180.0
154,3125.0
155,3125.0
156,3102.75
157,3135.0
158,3090.0
159,2542.75
160,3177.75
161,3225.0
162,3265.0
163,2695.0
164,2585.0
165,3132.75
166,3190.0
167,2647.75
168,3060.0
169,3145.0
170,2630.0
171,2575.0
172,3112.75
173,2730.0
174,3025.0
175,3095.0
176,3055.0
177,3177.75
178,2740.0
179,3085.0
180,3277.75
181,2445.0
182,3085.0
183,3177.75
184,3125.0
185,2685.0
186,2555.0
187,3270.0
188,2990.0
189,3257.75
190,3237.75
191,1945.0
192,3135.0
193,2665.5
194,2685.0
195,3117.75
196,3215.5
197,3085.0
198,3177.75
199,3172.75
200,3125.0
201,3135.0
202,3265.0
203,3315.0
204,3127.75
205,2685.0
206,3225.5
207,3135.0
208,3185.5
209,3153.25
210,3040.5
211,3182.75
212,3180.0
213,3135.0
214,2657.75
215,3285.0
216,3252.75
217,3047.75
218,2572.75
219,2630.0
220,3265.0
221,3142.75
222,2125.0
223,3225.0
224,2715.0
225,3190.0
226,2562.75
227,3272.75
228,2090.0
229,3190.5
230,3165.0
231,3190.5
232,3233.25
233,2540.0
234,2597.75
235,2660.0
236,3205.5
237,3197.75
238,2990.0
239,3285.0
240,2555.0
241,2655.0
242,3238.75
243,3175.5
244,3195.0
245,3035.0
246,3135.0
247,3220.0
248,2635.0
249,3210.0
250,3197.75
251,2640.0
252,3238.25
253,3212.75
254,3252.75
255,1960.0
256,2077.75
257,3142.75
258,3105.0
259,2585.0
260,3122.75
261,3180.0
262,3125.0
263,3277.75
264,3217.75
265,3267.75
266,3137.75
267,3125.0
268,3182.75
269,3142.75
270,3222.75
271,3177.75
272,3190.5
273,3085.5
274,3140.0
275,3165.0
276,2680.0
277,2970.0
278,2597.75
279,3140.0
280,2605.0
281,3305.0
282,3197.75
283,2655.0
284,3177.75
285,3145.5
286,2750.0
287,3035.0
288,3235.0
289,2997.75
290,3092.75
291,2690.0
292,3175.0
293,3085.0
294,3090.0
295,3195.0
296,3232.75
297,3205.0
298,3077.75
299,2625.0
300,3270.0
301,3190.5
302,3270.0
303,3137.75
304,2590.0
305,2730.0
306,3247.75
307,3197.75
308,3170.0
309,3140.0
310,3172.75
311,3177.75
312,3212.75
313,3040.5
314,2677.75
315,2512.75
316,3092.75
317,3190.0
318,3190.0
319,3077.75
320,2640.0
321,3235.0
322,3275.0
323,3142.75
324,2585.0
325,2570.0
326,3252.75
327,3087.75
328,3130.0
329,3167.75
330,3200.0
331,3217.75
332,3135.0
333,3150.0
334,2122.75
335,2610.0
336,2990.0
337,3182.75
338,1515.0
339,2662.75
340,2065.0
341,3135.0
342,3125.0
343,2462.75
344,3302.75
345,3235.0
346,3292.75
347,2570.0
348,3297.75
349,3092.75
350,3090.0
351,3267.75
352,3137.75
353,3135.0
354,2732.75
355,3125.0
356,3140.0
357,2675.0
358,3287.75
359,3115.0
360,2627.75
361,3165.0
362,3252.75
363,3177.75
364,1560.0
365,3272.75
366,2645.0
367,3225.0
368,3200.0
369,3275.5
370,3195.0
371,3167.75
372,3070.0
373,2635.0
374,2985.0
375,2932.75
376,3190.0
377,3133.75
378,2665.0
379,2170.0
380,3310.5
381,3165.0
382,3052.75
383,3187.75
384,3120.0
385,2660.0
386,3178.25
387,3165.0
388,2990.0
389,2640.0
390,2687.75
391,2632.75
392,3135.0
393,3217.75
394,2690.0
395,3117.75
396,2590.0
397,2610.0
398,3095.0
399,3217.75
400,3197.75
401,3090.0
402,3042.75
403,2500.0
404,2612.75
405,3195.5
406,2597.75
407,3165.0
408,3202.75
409,3050.0
410,3265.0
411,2562.75
412,3212.75
413,3130.0
414,2147.75
415,3340.0
416,3240.0
417,2015.0
418,2677.75
419,3220.0
420,2040.0
421,3285.0
422,3075.0
423,3190.0
424,3190.0
425,3300.0
426,3262.75
427,2177.75
428,3197.75
429,2630.0
430,2745.0
431,2685.0
432,3190.0
433,2667.75
434,3255.0
435,3185.5
436,3205.0
437,2765.0
438,2565.0
439,3245.0
440,3147.75
441,3165.0
442,3177.75
443,3222.75
444,3140.0
445,3177.75
446,2710.0
447,2697.75
448,3095.0
449,3190.5
450,3177.75
451,3185.0
452,2660.0
453,3190.0
454,3190.0
455,2690.0
456,3145.0
457,3090.0
458,3238.25
459,3182.75
460,3042.75
461,3020.0
462,2005.0
463,3297.75
464,3197.75
465,3210.0
466,3210.0
467,3077.75
468,2125.0
469,3252.75
470,2685.0
471,3142.75
472,3075.0
473,2567.75
474,2610.0
475,3215.5
476,2680.0
477,3182.75
478,2550.0
479,2652.75
480,3317.75
481,2700.0
482,3145.5
483,3195.0
484,3125.5
485,2662.75
486,3142.75
487,3132.75
488,2620.0
489,3182.75
490,3242.75
491,3237.75
492,3127.75
493,3172.75
494,2550.0
495,2030.0
496,2707.75
497,3070.0
498,3270.0
499,2550.0
500,3087.75
501,3200.0
502,3140.0
503,1970.0
504,2680.0
505,3082.75
506,3202.75
507,2720.0
508,2655.0
509,3265.0
510,3185.5
511,2655.0
512,2775.0
513,2660.0
514,3160.5
515,3182.75
516,3075.0
517,3135.0
518,2055.0
519,3215.0
520,2512.75
521,3190.0
522,2535.0
523,3260.0
524,1650.0
525,3292.75
526,3162.75
527,3197.75
