,p1_mean_def_last,p2_mean_def_last
0,25.833333333333332,66.46666666666667
1,35.0,63.333333333333336
2,11.666666666666666,61.46666666666667
3,25.0,78.96666666666667
4,38.333333333333336,69.48333333333333
5,70.0,60.31666666666666
6,40.0,64.16666666666667
7,37.5,67.3
8,7.5,70.0
9,41.666666666666664,72.5
10,0.8333333333333334,84.16666666666667
11,19.166666666666668,62.81666666666666
12,37.5,60.833333333333336
13,41.666666666666664,55.31666666666666
14,25.0,68.96666666666667
15,34.166666666666664,67.3
16,71.66666666666667,56.98333333333333
17,10.833333333333334,63.65
18,25.833333333333332,50.833333333333336
19,25.833333333333332,80.83333333333333
20,30.833333333333332,51.98333333333333
21,44.166666666666664,73.64999999999999
22,0.8333333333333334,71.98333333333333
23,16.666666666666668,62.81666666666666
24,15.833333333333334,77.5
25,20.833333333333332,84.48333333333333
26,33.333333333333336,75.0
27,38.333333333333336,78.13333333333334
28,25.833333333333332,67.5
29,30.0,65.0
30,11.666666666666666,85.31666666666666
31,39.166666666666664,72.81666666666666
32,15.833333333333334,40.833333333333336
33,77.5,86.66666666666667
34,23.333333333333332,65.83333333333333
35,0.8333333333333334,79.16666666666667
36,31.666666666666668,75.83333333333333
37,44.166666666666664,56.98333333333333
38,75.83333333333333,65.83333333333333
39,25.0,62.5
40,30.833333333333332,81.66666666666667
41,26.666666666666668,80.83333333333333
42,40.0,73.64999999999999
43,36.666666666666664,60.0
44,35.0,63.65
45,31.666666666666668,65.83333333333333
46,20.833333333333332,57.5
47,36.666666666666664,95.83333333333333
48,52.5,67.3
49,11.666666666666666,70.0
50,16.666666666666668,65.83333333333333
51,45.0,72.3
52,17.5,60.833333333333336
53,30.0,71.14999999999999
54,29.166666666666668,65.83333333333333
55,47.5,75.31666666666666
56,46.666666666666664,65.83333333333333
57,63.333333333333336,75.83333333333333
58,0.8333333333333334,74.16666666666667
59,10.833333333333334,46.15
60,50.0,65.31666666666666
61,51.666666666666664,51.15
62,37.5,75.83333333333333
63,27.5,105.83333333333333
64,65.83333333333333,67.81666666666666
65,25.833333333333332,71.66666666666667
66,60.833333333333336,95.0
67,57.5,71.14999999999999
68,11.666666666666666,46.98333333333333
69,22.5,68.96666666666667
70,25.833333333333332,61.98333333333333
71,15.0,64.48333333333333
72,38.333333333333336,74.16666666666667
73,30.833333333333332,62.300000000000004
74,55.833333333333336,67.5
75,35.833333333333336,66.98333333333333
76,22.5,72.5
77,31.666666666666668,65.83333333333333
78,35.833333333333336,85.83333333333333
79,40.0,65.83333333333333
80,35.833333333333336,71.66666666666667
81,49.166666666666664,89.48333333333333
82,20.833333333333332,50.31666666666666
83,37.5,76.98333333333333
84,37.5,75.63333333333334
85,21.666666666666668,90.81666666666666
86,24.166666666666668,74.16666666666667
87,39.166666666666664,86.46666666666665
88,20.833333333333332,46.666666666666664
89,18.333333333333332,73.64999999999999
90,11.666666666666666,61.15
91,37.5,69.16666666666667
92,39.166666666666664,70.31666666666666
93,15.833333333333334,62.5
