,p2_offensive_ratio
0,1.0708661417322836
1,1.0561224489795917
2,1.0232558139534884
3,1.1417910447761195
4,1.0625
5,1.0807453416149069
6,1.0621761658031088
7,1.115702479338843
8,0.9846938775510204
9,1.0147783251231528
10,0.9186991869918699
11,1.0817610062893082
12,1.0582010582010581
13,1.0745341614906831
14,1.0
15,1.0597014925373134
16,1.0566037735849056
17,1.0642857142857143
18,1.0828729281767955
19,1.0891089108910892
20,0.9301075268817204
21,1.0723926380368098
22,1.0118343195266273
23,1.0817610062893082
24,0.9900990099009901
25,1.0342857142857143
26,0.9759615384615384
27,1.1111111111111112
28,1.073446327683616
29,1.0555555555555556
30,1.0376344086021505
31,1.0113636363636365
32,1.0341463414634147
33,0.9362745098039216
34,1.056701030927835
35,0.9811320754716981
36,1.0621761658031088
37,1.079268292682927
38,1.0555555555555556
39,1.0721649484536082
40,0.9813084112149533
41,1.0524271844660193
42,1.06875
43,1.0869565217391304
44,1.0606060606060606
45,1.0490196078431373
46,1.07
47,0.9220183486238532
48,1.0708661417322836
49,1.0544554455445545
50,1.0555555555555556
51,1.0557142857142856
52,1.0247524752475248
53,1.018181818181818
54,1.0555555555555556
55,1.1017964071856288
56,1.021978021978022
57,1.0621761658031088
58,1.0
59,1.0566037735849056
60,1.0304878048780488
61,1.0789473684210527
62,1.0621761658031088
63,0.9186991869918699
64,0.9764705882352941
65,1.0348258706467661
66,1.0091743119266054
67,0.9757575757575757
68,1.0773809523809523
69,1.0677966101694916
70,1.0292397660818713
71,1.1175
72,0.9903381642512077
73,1.0254237288135593
74,1.075268817204301
75,1.1189873417721519
76,1.0148514851485149
77,1.0555555555555556
78,0.981651376146789
79,1.07035175879397
80,1.0582010582010581
81,0.9945054945054945
82,1.0613496932515338
83,1.0459770114942528
84,1.094890510948905
85,0.9408817635270541
86,1.0047169811320755
87,1.0359712230215827
88,0.9900990099009901
89,1.06875
90,1.1006711409395973
91,1.078125
92,1.0508474576271187
93,1.0721649484536082
94,0.9577464788732394
95,1.1006711409395973
96,1.0360824742268042
97,1.0817610062893082
98,1.0696517412935322
99,1.0708661417322836
100,1.0561224489795917
101,1.0621761658031088
102,1.096551724137931
103,1.019704433497537
104,1.0632183908045978
105,0.9811320754716981
106,1.0613496932515338
