,p2_avg_hp_when_switching
0,0.49344594037783046
1,0.567
2,0.4666666666666666
3,0.6266666666666666
4,0.3685714285714286
5,0.6853846153846153
6,0.7454545454545454
7,0.8620000000000001
8,0.6757142857142858
9,0.5751353945149523
10,0.2871428571428572
11,0.7555555555555555
12,0.6159999999999999
13,0.5725
14,0.61
15,0.8015383568286931
16,0.6020000000000001
17,0.7816666666666667
18,0.658
19,0.72
20,0.7028571428571428
21,0.46714285714285714
22,0.7375200938064177
23,0.72125
24,0.66
25,0.41428571428571426
26,0.5089719090770108
27,0.62
28,0.41500000000000004
29,0.7112499999999999
30,0.5666666666666667
31,0.7176094090057535
32,0.3611111111111111
33,0.6342857142857143
34,0.5135513779204324
35,0.5375
36,0.66
37,0.4813817585237781
38,0.7254545454545455
39,0.6077777777777779
40,0.844029659224437
41,0.48857142857142855
42,0.5625
43,0.6420382236536187
44,0.5148734133419691
45,0.6514285714285714
46,0.535
47,0.674220129044535
48,0.6007142857142856
49,0.5733333333333334
50,0.6845454545454547
51,0.6788888888888889
52,0.5063553507890007
53,0.89375
54,0.6783333333333333
55,0.6849999999999999
56,0.6099452485357018
57,0.7250000000000001
58,0.4936363636363637
59,0.7262500000000001
60,0.6799999999999998
61,0.6606696834301293
62,0.66
63,0.59875
64,0.6950663024175127
65,0.6335448967628599
66,0.6179999999999999
67,0.7971428571428572
68,0.488
69,0.5025
70,0.3575
71,0.6266666666666666
72,0.5977777777777777
73,0.7268743201405741
74,0.7622222222222222
75,0.3140021969760873
76,0.7471428571428572
77,0.9014285714285715
78,0.5725
79,0.4134267501587022
80,0.7576925494746952
81,0.5862726445885827
82,0.5828571428571429
83,0.7377017411491646
84,0.6525889455058875
85,0.63375
86,0.6870819763604745
87,0.47815982355445913
88,0.5074824864196282
89,0.788
90,0.6755555555555556
91,0.5800000000000001
92,0.43369349526926654
93,0.7163777402512536
94,0.5566666666666666
95,0.6778322251590099
96,0.695410186296355
97,0.7617479687935775
98,0.6620770028982277
99,0.8145646248900567
100,0.52
101,0.7422222222222222
102,0.6885714285714285
103,0.3575
104,0.44
105,0.649090909090909
106,0.6916666666666668
107,0.7249256832036742
108,0.7663636363636364
109,0.4974999999999999
110,0.524
111,0.8327272727272725
112,0.31625000000000003
113,0.6804767689382424
114,0.7827272727272727
115,0.6471428571428571
116,0.625
117,0.6377777777777778
118,0.865
119,0.5508333333333334
120,0.9342765860337746
121,0.58875
122,0.8366666666666668
123,0.37166666666666665
124,0.546
125,0.6393476482535907
126,0.46375
127,0.5636516312454616
128,0.613
129,0.66625
130,0.6576732876696492
131,0.7128571428571429
132,0.43727272727272726
133,0.1175
134,0.7093333333333334
135,0.7583358526692363
136,0.6667371927266368
137,0.7140000000000001
138,0.749643440668774
139,0.5871428571428571
140,0.8457142857142858
141,0.655
142,0.6933333333333334
143,0.6936363636363636
144,0.612222197621228
145,0.47166666666666673
146,0.71
147,0.6818181818181818
148,0.5455555555555556
149,0.5604980454991391
150,0.775
151,0.7258696491269904
152,0.46126882062198066
153,0.686
154,0.610909090909091
155,0.5122222222222222
156,0.6863001300552084
157,0.649
158,0.6875
159,0.4768497530038805
160,0.6025
161,0.7892857142857144
162,0.66125
163,0.5033333333333333
164,0.404330585146849
165,0.6381818181818182
166,0.7172727272727273
167,0.4403571593311252
168,0.5675
169,0.6456887339149013
170,0.6114285714285713
171,0.6692857142857143
172,0.775
173,0.49
174,0.6092307692307691
175,0.6663636363636363
176,0.8337683259532854
177,0.63
178,0.62
179,0.5436214605441054
180,0.7894336676864036
181,0.6269230769230768
182,0.5989324325924175
183,0.6325
184,0.7061538461538461
185,0.40860451836146217
186,0.54
187,0.7092307692307691
188,0.5331458302874337
189,0.6220000000000001
190,0.733062123655199
191,0.5055555555555556
192,0.5933333333333334
193,0.4983333333333333
194,0.5431151210142288
195,0.7065927178508096
196,0.5254545454545455
197,0.7424999999999999
198,0.8391650400169305
199,0.6907692307692308
200,0.6869857292890934
201,0.6074231950851406
202,0.4755555555555555
203,0.5864662556234285
204,0.49083333333333345
205,0.8311111111111111
206,0.11333333333333333
207,0.619090909090909
208,0.7999999999999999
209,0.6993867829376967
210,0.8585173076870772
211,0.4033333333333333
212,0.7399378528364365
213,0.5711111111111111
214,0.4175
215,0.8266666666666667
216,0.61
217,0.256
218,0.5460418521995979
219,0.7925
220,0.6112500000000001
221,0.6593067162048754
222,0.603
223,0.7155555555555555
224,0.7738763015948215
225,0.48207885972308595
226,0.6757142857142858
227,0.49926377222582374
228,0.532604163311682
229,0.4
230,0.7564334352537038
231,0.7050000000000001
232,0.8106911669181445
233,0.59375
234,0.6950000000000001
