,p1_avg_hp_when_switching
0,0.6132351716923834
1,0.391
2,0.562
3,0.5157142857142857
4,0.496
5,0.6833333333333332
6,0.47555555555555556
7,0.6133333333333334
8,0.24857142857142858
9,0.6159568986671382
10,0.13499999999999998
11,0.4918181818181818
12,0.6439999999999999
13,0.6016666666666667
14,0.5457142857142857
15,0.7256067135554157
16,0.762
17,0.6250000000000001
18,0.7816666666666666
19,0.5775
20,0.6736363636363637
21,0.47000000000000003
22,0.45876876551500484
23,0.63
24,0.6291666666666667
25,0.36333333333333334
26,0.7863230999982227
27,0.6666666666666666
28,0.48666666666666664
29,0.38727272727272727
30,0.5328571428571428
31,0.46909231343636887
32,0.3333333333333333
33,0.8333333333333331
34,0.3333333333333333
35,0.3333333333333333
36,0.7275
37,0.5768100293107841
38,0.889
39,0.7116666666666666
40,0.6793644231851683
41,0.5587500000000001
42,0.71875
43,0.7028422323225545
44,0.7363998230871296
45,0.6328571428571428
46,0.5192857142857142
47,0.6
48,0.92
49,0.38833333333333336
50,0.7380000000000001
51,0.7327272727272728
52,0.4784257942152679
53,0.6083333333333333
54,1.0
55,0.7989999999999999
56,0.7388970315156429
57,0.72
58,0.39
59,0.75
60,0.736
61,0.7115609722684592
62,0.8025
63,0.5983333333333334
64,0.9249004931005734
65,0.6854714722485455
66,0.8163636363636364
67,0.7312500000000001
68,0.6725
69,0.6666666666666666
70,0.38000000000000006
71,0.7341666666666667
72,0.4442857142857143
73,0.6242578456318914
74,0.6028571428571429
75,0.5444794037461592
76,0.42
77,0.82
78,0.6416666666666667
79,0.38104325699745545
80,0.8333333333333334
81,0.8825881125167476
82,0.44333333333333336
83,0.7772867184991114
84,0.5684739400457617
85,0.5
86,0.410501722367931
87,0.8124960646973477
88,0.4
89,0.7071428571428572
90,0.4
91,0.5239999999999999
92,0.8557275541795665
93,0.30188674314000685
94,0.632
95,0.9835691465084436
96,0.4055471155075006
97,0.6507288084611695
98,0.5364933884943278
99,0.7843531079497823
100,0.6549999999999999
101,0.3458333333333334
102,0.8575
103,0.435
104,0.774
105,0.7969230769230768
106,0.5
107,0.4393745537489877
108,0.9316666666666666
109,0.9071428571428573
110,0.7066666666666667
111,0.78
112,0.52
113,0.8677757834819445
114,0.96375
115,0.4957142857142857
116,0.895
117,0.63375
118,0.6188888888888889
119,0.5642857142857143
120,0.7144381223328592
121,0.3514285714285714
122,0.9083333333333333
123,0.5183333333333334
124,0.484
125,0.6792720602902612
126,0.59
127,0.5487103418538883
128,0.557
129,0.394
130,0.5537059218347797
131,0.3514285714285714
132,0.49000000000000005
133,0.1525
134,0.8269230769230769
135,0.5713794289645683
136,0.7948203517664895
137,0.388
138,0.7446632352078405
139,0.6866666666666666
140,0.6
141,0.638
142,0.31
143,0.7066666666666666
144,0.5855855855855856
145,0.49374999999999997
146,0.6110000000000001
147,0.48375
148,0.8240000000000001
149,0.6056685425204291
150,0.6933333333333334
151,0.6070712767037636
152,0.5163755626117532
153,0.48200000000000004
154,0.755
155,0.776
156,0.7875399361022364
157,0.41428571428571426
158,0.6444444444444444
159,0.43394669521303875
160,0.5954545454545456
161,0.8430769230769232
162,0.81875
163,0.48125
164,0.5508566608253473
165,0.679
166,0.6257142857142857
167,0.5
168,0.8160000000000001
169,0.5283230771378622
170,0.38222222222222224
171,0.6900000000000001
172,0.5741666666666667
173,0.5285714285714286
174,0.777142857142857
175,0.7433333333333333
176,0.8363876027511036
177,0.44166666666666665
178,0.5771428571428572
179,0.5596907576555832
180,0.6861337390215276
181,0.5933333333333334
182,0.6914202720381647
183,0.758
184,0.8528571428571429
185,0.5531801443042259
186,0.7333333333333334
187,0.6914285714285714
188,0.3039527704932896
189,0.8958333333333334
190,0.5508993926931085
