,p1_sum_atk_last
0,190.0
1,180.0
2,115.0
3,200.0
4,250.0
5,425.0
6,235.0
7,240.0
8,50.0
9,305.0
10,5.0
11,80.0
12,245.0
13,290.0
14,205.0
15,235.0
16,385.0
17,70.0
18,190.0
19,210.0
20,255.0
21,240.0
22,5.0
23,160.0
24,100.0
25,150.0
26,260.0
27,150.0
28,190.0
29,190.0
30,115.0
31,295.0
32,100.0
33,505.0
34,150.0
35,5.0
36,185.0
37,300.0
38,515.0
39,200.0
40,180.0
41,170.0
42,285.0
43,225.0
44,265.0
45,240.0
46,130.0
47,190.0
48,225.0
49,115.0
50,105.0
51,275.0
52,165.0
53,165.0
54,230.0
55,335.0
56,345.0
57,450.0
58,5.0
59,70.0
60,235.0
61,320.0
62,240.0
63,215.0
64,450.0
65,210.0
66,395.0
67,410.0
68,115.0
69,155.0
70,165.0
71,80.0
72,290.0
73,180.0
74,305.0
75,205.0
76,115.0
77,260.0
78,245.0
79,220.0
80,255.0
81,305.0
82,135.0
83,240.0
84,145.0
85,150.0
86,165.0
87,295.0
88,130.0
89,160.0
90,115.0
91,245.0
92,240.0
93,100.0
94,175.0
95,150.0
96,110.0
97,165.0
98,205.0
99,255.0
100,55.0
101,195.0
102,305.0
103,165.0
104,210.0
105,380.0
106,105.0
107,130.0
108,435.0
109,485.0
110,400.0
111,290.0
112,170.0
113,375.0
114,440.0
115,245.0
116,355.0
117,320.0
118,305.0
119,165.0
120,235.0
121,140.0
122,385.0
123,225.0
124,165.0
125,220.0
126,150.0
127,275.0
128,190.0
129,245.0
130,260.0
131,165.0
132,105.0
133,100.0
134,415.0
135,280.0
136,395.0
137,65.0
138,250.0
139,165.0
140,250.0
141,340.0
142,140.0
143,215.0
144,225.0
145,305.0
146,360.0
147,50.0
148,410.0
149,395.0
150,295.0
151,280.0
152,355.0
153,210.0
154,385.0
155,355.0
156,250.0
157,210.0
158,260.0
159,300.0
160,230.0
161,260.0
162,310.0
163,55.0
164,200.0
165,260.0
166,250.0
167,55.0
168,225.0
169,205.0
170,95.0
171,230.0
172,285.0
173,115.0
174,240.0
175,310.0
176,155.0
177,80.0
178,245.0
179,245.0
180,340.0
181,190.0
182,210.0
