,p1_sum_spe_last
0,157.5
1,190.0
2,80.0
3,130.0
4,297.5
5,468.75
6,232.5
7,330.0
8,30.0
9,252.5
10,50.0
11,57.5
12,112.5
13,267.5
14,85.0
15,260.0
16,228.75
17,160.0
18,157.5
19,135.0
20,138.75
21,202.5
22,50.0
23,125.0
24,110.0
25,91.25
26,127.5
27,240.0
28,157.5
29,210.0
30,80.0
31,195.0
32,110.0
33,565.0
34,230.0
35,50.0
36,152.5
37,237.5
38,340.0
39,72.5
40,275.0
41,252.5
42,163.75
43,302.5
44,310.0
45,218.75
46,151.25
47,172.5
48,265.0
49,57.5
50,160.0
51,292.5
52,103.75
53,177.5
54,220.0
55,280.0
56,146.25
57,427.5
58,50.0
59,122.5
60,190.0
61,272.5
62,212.5
63,190.0
64,410.0
65,135.0
66,282.5
67,302.5
68,42.5
69,183.75
70,137.5
71,165.0
72,100.0
73,151.25
74,205.0
75,100.0
76,95.0
77,230.0
78,265.0
79,115.0
80,267.5
81,181.25
82,90.0
83,340.0
84,47.5
85,133.75
86,170.0
87,157.5
88,260.0
89,150.0
90,80.0
91,195.0
92,330.0
93,110.0
94,138.75
95,183.75
96,45.0
97,200.0
98,85.0
99,180.0
100,107.5
101,150.0
102,377.5
103,240.0
104,135.0
105,252.5
106,160.0
107,40.0
108,361.25
109,248.75
110,235.0
111,233.75
112,187.5
113,317.5
114,273.75
115,177.5
116,332.5
117,400.0
118,218.75
119,137.5
120,162.5
121,130.0
122,155.0
123,250.0
124,230.0
125,290.0
126,97.5
127,270.0
128,81.25
129,300.0
130,245.0
131,240.0
132,160.0
133,110.0
134,295.0
135,177.5
136,375.0
137,130.0
138,335.0
139,200.0
140,250.0
141,187.5
142,137.5
143,310.0
144,320.0
145,131.25
146,136.25
147,120.0
148,153.75
149,278.75
150,285.0
151,177.5
152,315.0
153,135.0
154,132.5
155,290.0
156,312.5
157,205.0
158,232.5
159,165.0
160,370.0
161,98.75
162,228.75
163,80.0
164,173.75
165,332.5
166,297.5
167,170.0
168,248.75
169,85.0
170,55.0
171,122.5
172,246.25
173,250.0
174,305.0
175,277.5
176,183.75
177,165.0
178,120.0
179,97.5
180,133.75
181,205.0
182,120.0
183,195.0
184,175.0
185,350.0
186,190.0
187,217.5
188,115.0
189,307.5
190,93.75
191,126.25
192,125.0
193,50.0
194,112.5
195,160.0
196,272.5
197,201.25
198,160.0
199,190.0
200,80.0
201,67.5
202,196.25
203,192.5
204,270.0
205,110.0
206,182.5
207,380.0
208,265.0
209,170.0
210,315.0
211,385.0
212,200.0
213,255.0
214,238.75
215,350.0
216,290.0
217,17.5
218,275.0
219,165.0
220,175.0
221,330.0
222,55.0
223,91.25
224,220.0
225,146.25
226,71.25
227,117.5
228,220.0
229,360.0
230,217.5
231,195.0
232,163.75
233,222.5
234,300.0
235,287.5
236,200.0
237,177.5
238,108.75
239,327.5
240,130.0
241,137.5
242,165.0
243,255.0
244,177.5
245,300.0
246,410.0
247,170.0
248,100.0
249,205.0
250,232.5
251,395.0
252,42.5
253,172.5
254,87.5
255,155.0
256,145.0
257,218.75
258,56.25
259,222.5
260,195.0
261,217.5
262,182.5
263,60.0
264,455.0
265,207.5
266,55.0
267,228.75
268,237.5
269,110.0
270,145.0
271,160.0
272,105.0
273,158.75
274,333.75
275,135.0
276,62.5
277,157.5
278,137.5
279,167.5
280,120.0
281,143.75
282,246.25
283,145.0
284,157.5
285,318.75
286,138.75
