,p1_mean_stats_start,p2_mean_stats_start,mean_stats_start_difference
0,531.6666666666666,530.9166666666666,0.75
1,503.3333333333333,531.6666666666666,-28.333333333333314
2,525.8333333333334,531.75,-5.916666666666629
3,547.5,534.25,13.25
4,536.6666666666666,529.625,7.041666666666629
5,529.1666666666666,534.625,-5.458333333333371
6,548.3333333333334,522.5,25.83333333333337
7,547.5,507.5833333333333,39.916666666666686
8,548.3333333333334,512.5,35.83333333333337
9,545.0,535.8333333333334,9.166666666666629
10,525.0,548.3333333333334,-23.33333333333337
11,509.1666666666667,534.625,-25.458333333333314
12,544.1666666666666,518.3333333333334,25.833333333333258
13,531.6666666666666,538.7916666666666,-7.125
14,544.1666666666666,553.4166666666666,-9.25
15,512.5,535.0833333333334,-22.58333333333337
16,529.1666666666666,528.7916666666666,0.375
17,536.6666666666666,543.7916666666666,-7.125
18,522.5,510.8333333333333,11.666666666666686
19,522.5,521.6666666666666,0.8333333333333712
20,527.5,542.125,-14.625
21,521.6666666666666,532.125,-10.458333333333371
22,531.6666666666666,537.9583333333334,-6.2916666666667425
23,514.1666666666666,530.4583333333334,-16.291666666666742
24,545.8333333333334,519.1666666666666,26.666666666666742
25,510.8333333333333,522.125,-11.291666666666686
26,526.6666666666666,532.5,-5.833333333333371
27,536.6666666666666,515.0833333333334,21.583333333333258
28,515.8333333333334,498.3333333333333,17.500000000000057
29,544.1666666666666,534.1666666666666,10.0
30,545.0,544.625,0.375
31,515.8333333333334,549.625,-33.79166666666663
32,538.3333333333334,543.3333333333334,-5.0
33,536.6666666666666,510.0,26.66666666666663
34,535.0,531.6666666666666,3.3333333333333712
35,499.1666666666667,536.6666666666666,-37.49999999999994
36,547.5,522.5,25.0
37,552.5,536.2916666666666,16.20833333333337
38,522.5,534.1666666666666,-11.666666666666629
39,515.8333333333334,533.3333333333334,-17.5
40,544.1666666666666,539.1666666666666,5.0
41,532.5,540.0,-7.5
42,535.8333333333334,523.7916666666666,12.041666666666742
43,531.6666666666666,515.8333333333334,15.833333333333258
44,529.1666666666666,535.4583333333334,-6.2916666666667425
45,514.1666666666666,544.1666666666666,-30.0
46,505.0,517.5,-12.5
47,520.8333333333334,517.5,3.3333333333333712
48,543.3333333333334,530.9166666666666,12.416666666666742
49,533.3333333333334,544.1666666666666,-10.833333333333258
50,522.5,534.1666666666666,-11.666666666666629
51,531.6666666666666,548.4166666666666,-16.75
52,512.5,532.5,-20.0
53,510.8333333333333,517.125,-6.291666666666686
54,520.8333333333334,534.1666666666666,-13.333333333333258
55,517.5,525.4583333333334,-7.958333333333371
56,540.8333333333334,495.8333333333333,45.00000000000006
57,545.0,522.5,22.5
58,503.3333333333333,503.3333333333333,0.0
59,552.5,528.7916666666666,23.70833333333337
60,545.0,522.125,22.875
61,531.6666666666666,524.625,7.041666666666629
62,553.3333333333334,522.5,30.83333333333337
63,517.5,548.3333333333334,-30.83333333333337
64,534.1666666666666,525.4583333333334,8.708333333333258
65,505.8333333333333,531.6666666666666,-25.833333333333314
66,539.1666666666666,525.8333333333334,13.333333333333258
67,518.3333333333334,516.2916666666666,2.0416666666667425
68,531.6666666666666,546.2916666666666,-14.625
69,496.6666666666667,520.9166666666666,-24.249999999999943
70,533.3333333333334,540.4583333333334,-7.125
71,541.6666666666666,540.4583333333334,1.2083333333332575
72,541.6666666666666,528.3333333333334,13.333333333333258
73,534.1666666666666,505.0833333333333,29.083333333333314
74,549.1666666666666,519.1666666666666,30.0
